Team,TG,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR
"CLE",162,2300,5907,203,717,686,109,0.076688674,0.234806162,0.168979745,0.282159872,0.237996999,0.303483432,0.406976744,0.30621707110261115,0.311959304134523,95.40001294838316,15.477350548739196,-17.959937407614873,2.932332430034876,18.789911173363986
"CHC",162,2475,5972,210,705,672,86,0.084058941,0.267247153,0.17093856,0.296033994,0.236524689,0.311804384,0.407463249,0.31141164491125395,0.303944892864668,93.68607888276908,-2.7038524837789737,-51.037430698188274,37.92240644060075,18.7690218150377
"PHI",162,2394,6089,198,734,700,77,0.092626046,0.230251272,0.168468133,0.286164347,0.240029817,0.317715231,0.40849795,0.3131597758272817,0.31416216008955483,93.5572723094179,6.540782114956528,-43.96089720632054,23.056076215580106,18.38137439566526
"NYY",162,2354,6060,222,711,666,63,0.102475247,0.244554455,0.169386606,0.285167986,0.237478897,0.322367333,0.406865503,0.3171555232685661,0.33034642115011364,102.73024101643941,-3.818304884014651,16.21202479135735,-41.52314772922546,18.284445475004976
"CIN",162,2472,6162,222,786,756,36,0.089743589,0.231256085,0.182002582,0.295734101,0.2493085,0.328109696,0.431311082,0.32729430677342386,0.3242684965391015,98.21922964899363,-16.62021810328588,-30.910246951890855,5.444136350182816,18.169492323714486
"MIL",162,2403,6099,194,738,700,82,0.096081324,0.240203312,0.162812384,0.282771535,0.233308466,0.317081205,0.39612085,0.3100378469557088,0.3097667565958592,91.98907729223069,2.8340068388934014,-59.59000042163719,33.64303332194686,17.909402136261175
"LAA",162,2325,6016,190,723,691,79,0.077127659,0.231715425,0.162037889,0.294223826,0.244804119,0.309774436,0.406842008,0.3084895757066102,0.31146754504011387,93.11723258845258,3.3715905365679646,-47.513405479260776,-33.90139066055417,12.507445640606388
"TEX",162,2252,5943,167,625,598,106,0.072858825,0.232374221,0.14320074,0.279578189,0.2320074,0.294415387,0.37520814,0.2912298636761231,0.2971340083533053,83.02231668148555,8.352506908471696,-115.45252316170715,30.47437660396099,11.899297165015339
"KCR",162,2368,5993,163,686,647,124,0.070248623,0.209911563,0.147042564,0.292262198,0.248571955,0.306465155,0.395614519,0.30368194553818806,0.31189909968080043,87.56314752349172,6.855587481055409,-84.96111072024348,-2.318297639489174,11.840340447406053
"DET",162,2341,5979,179,697,675,88,0.081953503,0.253219601,0.157552083,0.300026788,0.241629464,0.307550335,0.399181547,0.30576997291376834,0.3077544781827433,92.77382264862639,6.856626661494374,-46.31287667173266,-44.495589293539524,11.438358259036029
"SEA",162,2360,6010,199,697,673,64,0.089018302,0.248252911,0.159103641,0.272972972,0.225770308,0.302767589,0.384873949,0.2997861007020151,0.3085080974279778,93.18248287585881,-7.816897112177685,-58.12043386067608,-40.56164905917831,10.755346757694232
"ARI",162,2449,6144,144,679,644,43,0.087402343,0.23844401,0.146110402,0.295035823,0.236290763,0.309102815,0.382401165,0.3006836158675947,0.29490241543389856,85.78852975316589,-4.745380196181941,-116.28025907430923,17.335163339972496,10.740829471103254
"COL",161,2344,6007,182,739,709,76,0.081737972,0.22573664,0.165426126,0.298553719,0.248976553,0.316663869,0.414402679,0.31498130075853215,0.30636823217464865,80.47884292817858,1.636811966975074,-148.06517225027812,39.81045891856775,9.346566830771328
"MIA",162,2436,5928,158,623,594,106,0.075910931,0.261977058,0.139491399,0.296154895,0.232610321,0.298489733,0.37210172,0.29147580249746724,0.2899006446213608,79.54603683643735,10.468456688824517,-144.277402675971,31.874436013400555,8.664918491177778
"PIT",162,2393,5983,124,609,570,60,0.088417182,0.221962226,0.127811094,0.289977046,0.23631934,0.309023693,0.364130434,0.2942669069724761,0.29930348548993424,80.46529025535288,-2.6500555311213247,-152.08869667217397,23.965872026979923,7.273572624885489
"BAL",162,2376,5983,195,659,632,54,0.075380244,0.243021895,0.162546125,0.289584429,0.239114391,0.303670186,0.401660516,0.3050349826576528,0.30448377861510983,90.58072344429523,-6.684501445386559,-75.96902949814667,-66.65954331308603,6.255825265553398
