Team,TG,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR
"OAK",162,86,76,39,666,162,1433,8.365667041077874,2.7571530263011907,1.1995813850194248,0.29028259791769956,0.73735603,0.402731193,0.118119975,93.18598061277156,4.019539719436816,4.253511587738275,4.0967613355594175,4.354942483877546,14.709824925288558
"TOR",162,91,71,34,698,162,1405.1,9.401329200448648,3.029174871806683,1.3384726177750461,0.28393389325386076,0.75509125,0.430118617,0.144837144,93.53334792361775,3.9065468748458283,4.105825065991074,4.184028529872379,4.062331090451357,14.468432708643377
"SEA",162,90,72,51,746,162,1440.1,8.298079859460307,3.030548743854103,1.2309651598747593,0.28780730072013905,0.71105128,0.405069344,0.12138016,93.2122251121217,4.299005228395099,4.361727194826196,4.257976821578009,4.4680391386679785,13.978730763308704
"COL",161,74,87,33,704,161,1397,8.175376352234325,3.472441177190151,1.2627058826146003,0.30198642192607494,0.69755306,0.447990255,0.142961342,94.47565958469377,4.8253403371343655,4.3960195826150885,4.46996262747164,4.37757928238869,13.5735488118371
"KCR",162,74,88,37,718,162,1417.1,8.534337605955743,3.7528225633332175,1.2001412258375264,0.30093884800811976,0.70318703,0.422195121,0.126,93.96636088667438,4.641816063953607,4.949994039669997,4.389225209032148,4.5229574819631395,13.210260808235034
"STL",162,90,72,50,718,162,1417,7.780522999988967,3.861679986933299,0.9654199967333248,0.2721327967806841,0.73211994,0.437239007,0.107877927,93.38935162570854,3.9950603812188246,4.583177016173725,4.302708899336183,4.662614535772027,13.015751489903778
"SDP",162,79,83,43,786,162,1430,9.547553237497105,3.247552716248191,1.2902098969590683,0.2873224336638971,0.73571877,0.428460943,0.143356643,94.38157821856528,4.097203136196846,4.270308311602326,4.177027212776558,4.077752967515272,12.661907212808728
"CLE",162,80,82,39,697,162,1408,8.891336010551852,3.3366480212135636,1.380681939812509,0.28174603174603174,0.72775071,0.426010101,0.147440273,93.92399382922765,4.340199245984693,4.469700871853515,4.426426278603013,4.267896801180471,9.68638969399035
"DET",162,77,85,42,739,162,1419.2,7.981451858024435,3.6198641866020274,1.2615638758910743,0.28892178633111276,0.72632424,0.444681861,0.132050431,94.08041292162657,4.31721105267247,4.8059528283889055,4.598538611750736,4.649179888172998,9.280394217930734
"BAL",162,52,110,26,731,162,1402,7.921541609956511,3.614123117022298,1.6562056202340192,0.3051586340518285,0.66730059,0.396737881,0.151142355,92.91914949282659,5.84807488384958,5.254119932123183,5.152202692075282,4.908098632790166,7.769820570247248
"MIN",162,73,89,42,691,162,1419.1,8.351104502268491,3.0690467570979116,1.515500361459506,0.2898441427853193,0.68853686,0.409658817,0.150314465,92.22428611913027,4.831846340720266,4.734128128690327,4.657352236386621,4.444812844236329,6.8402305115014315
"WSN",162,65,97,36,731,162,1394.1,8.688023781710081,3.537174615436199,1.5943104562276298,0.2893032893032893,0.71035915,0.409893114,0.159767141,93.29160503544473,4.821659557902994,4.675689476169455,4.874074448151633,4.52745991416315,6.343457586597651
"TEX",162,60,102,31,669,162,1424.1,7.828926417814447,3.2415167492645773,1.4659490951839804,0.2883193691473632,0.703125,0.424185167,0.148622677,93.62379570450284,4.802247035947522,4.678450107807045,4.756741476449702,4.5729146049678056,5.763780226698145
"PIT",162,61,101,25,745,162,1396.1,8.456434200161134,3.9059444552573526,1.3728814669468912,0.3019587891121852,0.70052637,0.409001956,0.138491547,93.44105358251525,5.0790168824138515,4.743287561468504,4.7434407906372655,4.7037575341652635,5.117764355731197
"CHC",162,71,91,40,761,162,1412.2,8.65172328329079,3.797074430663705,1.497168609405991,0.29399744572158365,0.70873786,0.448343558,0.171532846,93.03995792163204,4.880132573638251,4.738072778873917,4.883814360467941,4.432310861032057,3.9828642772044986
"ARI",162,52,110,22,727,162,1417.1,7.861242363764813,3.5242241614616083,1.473189199025393,0.2992805755395683,0.68171633,0.402264325,0.138095238,92.23125206976329,5.1498122431448,4.763751405520075,4.884521552367282,4.847923505854076,2.3756285780109465
