ml_edge_min,ml_edge_max,favorites_only,rolling_weight_7,rating_cap_low,rating_cap_high,w_rolling_off,w_woba,w_xwoba,w_k_off,w_bb_off,w_rolling_pit,w_fip,w_xfip,w_k_pit,w_bb_pit,rolling_weight_15,n_bets,win_rate,roi,profit,run_date,seed,n_trials,run_time_mins
0.04,0.08,False,0.7,0.6,1.3,0.22222222222222224,0.3333333333333333,0.0,0.3333333333333333,0.11111111111111112,0.25,0.25,0.25,0.125,0.125,0.30000000000000004,1878,0.4787,-1.8674,-3506.99,2026-05-17,58703,100,93.7
0.05,0.2,True,0.7,0.7,1.3,0.3,0.3,0.0,0.2,0.2,0.15384615384615385,0.23076923076923075,0.23076923076923075,0.15384615384615385,0.23076923076923075,0.30000000000000004,1438,0.5702,-1.9084,-2744.33,2026-05-17,58703,100,93.7
0.07,0.2,False,0.7,0.65,1.5,0.1111111111111111,0.2222222222222222,0.0,0.33333333333333326,0.33333333333333326,0.25,0.25,0.25,0.08333333333333334,0.16666666666666669,0.30000000000000004,2621,0.4372,-1.942,-5089.93,2026-05-17,58703,100,93.7
0.06,1.0,True,0.8,0.65,1.5,0.14285714285714288,0.14285714285714288,0.0,0.4285714285714286,0.28571428571428575,0.09999999999999998,0.19999999999999996,0.29999999999999993,0.29999999999999993,0.09999999999999998,0.19999999999999996,552,0.5489,-1.9696,-1087.21,2026-05-17,58703,100,93.7
0.05,0.1,True,0.6,0.6,1.6,0.28571428571428575,0.14285714285714288,0.0,0.14285714285714288,0.4285714285714286,0.33333333333333337,0.11111111111111113,0.33333333333333337,0.11111111111111113,0.11111111111111113,0.4,910,0.578,-2.0041,-1823.71,2026-05-17,58703,100,93.7
0.07,0.1,True,0.5,0.7,1.3,0.33333333333333337,0.33333333333333337,0.0,0.16666666666666669,0.16666666666666669,0.24999999999999994,0.08333333333333333,0.16666666666666666,0.24999999999999994,0.24999999999999994,0.5,472,0.5805,-2.0179,-952.46,2026-05-17,58703,100,93.7
0.03,0.08,True,0.7,0.65,1.4,0.14285714285714288,0.4285714285714286,0.0,0.14285714285714288,0.28571428571428575,0.25,0.16666666666666669,0.16666666666666669,0.25,0.16666666666666669,0.30000000000000004,1087,0.5695,-2.0678,-2247.72,2026-05-17,58703,100,93.7
0.03,0.08,False,0.5,0.65,1.3,0.125,0.25,0.0,0.25,0.37499999999999994,0.18181818181818185,0.18181818181818185,0.27272727272727276,0.18181818181818185,0.18181818181818185,0.5,2573,0.4516,-2.073,-5333.87,2026-05-17,58703,100,93.7
0.06,0.15,True,0.7,0.6,1.6,0.16666666666666669,0.16666666666666669,0.0,0.5,0.16666666666666669,0.1,0.3,0.2,0.2,0.2,0.30000000000000004,564,0.5532,-2.0839,-1175.32,2026-05-17,58703,100,93.7
0.03,0.08,True,0.5,0.6,1.6,0.28571428571428575,0.28571428571428575,0.0,0.14285714285714288,0.28571428571428575,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.33333333333333326,0.5,1114,0.5718,-2.1329,-2376.09,2026-05-17,58703,100,93.7
0.03,1.0,True,0.8,0.7,1.5,0.14285714285714285,0.2857142857142857,0.0,0.4285714285714285,0.14285714285714285,0.16666666666666666,0.24999999999999994,0.24999999999999994,0.24999999999999994,0.08333333333333333,0.19999999999999996,1462,0.5595,-2.1375,-3124.95,2026-05-17,58703,100,93.7
0.03,0.1,False,0.5,0.6,1.3,0.25,0.25,0.0,0.25,0.25,0.16666666666666669,0.25,0.08333333333333334,0.25,0.25,0.5,3160,0.4674,-2.2038,-6964.01,2026-05-17,58703,100,93.7
0.05,0.1,True,0.7,0.6,1.6,0.22222222222222227,0.22222222222222227,0.0,0.33333333333333337,0.22222222222222227,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.33333333333333337,0.16666666666666669,0.30000000000000004,755,0.5616,-2.2673,-1711.82,2026-05-17,58703,100,93.7
0.05,0.2,True,0.8,0.6,1.3,0.125,0.25,0.0,0.37499999999999994,0.25,0.1111111111111111,0.33333333333333326,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.19999999999999996,810,0.5519,-2.2976,-1861.05,2026-05-17,58703,100,93.7
0.04,0.1,True,0.7,0.65,1.4,0.27272727272727276,0.27272727272727276,0.0,0.27272727272727276,0.18181818181818185,0.16666666666666669,0.25,0.25,0.16666666666666669,0.16666666666666669,0.30000000000000004,1110,0.5712,-2.3162,-2570.95,2026-05-17,58703,100,93.7
0.07,0.15,True,0.8,0.7,1.3,0.2,0.2,0.0,0.3,0.3,0.2,0.1,0.2,0.3,0.2,0.19999999999999996,706,0.5567,-2.4103,-1701.68,2026-05-17,58703,100,93.7
0.05,0.1,False,0.5,0.7,1.6,0.33333333333333337,0.22222222222222227,0.0,0.11111111111111113,0.33333333333333337,0.25,0.125,0.125,0.25,0.25,0.5,2050,0.4849,-2.5188,-5163.61,2026-05-17,58703,100,93.7
0.05,0.08,False,0.7,0.6,1.4,0.125,0.37499999999999994,0.0,0.125,0.37499999999999994,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.30000000000000004,1369,0.4653,-2.5385,-3475.19,2026-05-17,58703,100,93.7
0.04,0.2,True,0.6,0.65,1.3,0.25,0.25,0.0,0.125,0.37499999999999994,0.3,0.1,0.2,0.2,0.2,0.4,1754,0.5673,-2.5518,-4475.86,2026-05-17,58703,100,93.7
0.03,0.2,False,0.7,0.65,1.4,0.3,0.2,0.0,0.3,0.2,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.11111111111111112,0.30000000000000004,4899,0.4701,-2.5862,-12669.65,2026-05-17,58703,100,93.7
0.04,0.08,True,0.6,0.65,1.6,0.25,0.125,0.0,0.37499999999999994,0.25,0.18181818181818185,0.27272727272727276,0.09090909090909093,0.27272727272727276,0.18181818181818185,0.4,784,0.5676,-2.7174,-2130.46,2026-05-17,58703,100,93.7
0.06,0.2,False,0.7,0.65,1.6,0.2,0.2,0.0,0.4,0.2,0.21428571428571425,0.14285714285714285,0.21428571428571425,0.21428571428571425,0.21428571428571425,0.30000000000000004,3102,0.4429,-2.7424,-8506.81,2026-05-17,58703,100,93.7
0.06,0.08,True,0.5,0.6,1.5,0.2,0.2,0.0,0.3,0.3,0.23076923076923075,0.23076923076923075,0.23076923076923075,0.23076923076923075,0.07692307692307693,0.5,358,0.5615,-2.7854,-997.18,2026-05-17,58703,100,93.7
0.05,0.1,True,0.7,0.7,1.4,0.25,0.25,0.0,0.25,0.25,0.21428571428571425,0.21428571428571425,0.14285714285714285,0.21428571428571425,0.21428571428571425,0.30000000000000004,859,0.5681,-2.802,-2406.91,2026-05-17,58703,100,93.7
0.03,0.15,False,0.6,0.6,1.6,0.25,0.25,0.0,0.25,0.25,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.33333333333333326,0.4,4226,0.4536,-2.8713,-12134.13,2026-05-17,58703,100,93.7
0.04,0.15,False,0.8,0.7,1.6,0.2222222222222222,0.2222222222222222,0.0,0.2222222222222222,0.33333333333333326,0.09090909090909091,0.2727272727272727,0.09090909090909091,0.2727272727272727,0.2727272727272727,0.19999999999999996,3575,0.4484,-2.9251,-10457.18,2026-05-17,58703,100,93.7
0.04,1.0,True,0.6,0.7,1.3,0.2857142857142857,0.2857142857142857,0.0,0.2857142857142857,0.14285714285714285,0.09090909090909091,0.18181818181818182,0.2727272727272727,0.2727272727272727,0.18181818181818182,0.4,1459,0.5593,-2.9651,-4326.12,2026-05-17,58703,100,93.7
0.05,0.15,False,0.7,0.6,1.5,0.375,0.25000000000000006,0.0,0.25000000000000006,0.12500000000000003,0.125,0.25,0.125,0.25,0.25,0.30000000000000004,3259,0.4732,-3.0983,-10097.25,2026-05-17,58703,100,93.7
0.06,0.2,True,0.5,0.6,1.3,0.14285714285714285,0.4285714285714285,0.0,0.2857142857142857,0.14285714285714285,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.07692307692307694,0.23076923076923078,0.5,917,0.5529,-3.2131,-2946.37,2026-05-17,58703,100,93.7
0.06,0.2,False,0.8,0.65,1.6,0.3333333333333333,0.22222222222222224,0.0,0.3333333333333333,0.11111111111111112,0.22222222222222224,0.11111111111111112,0.22222222222222224,0.3333333333333333,0.11111111111111112,0.19999999999999996,3500,0.4683,-3.2387,-11335.37,2026-05-17,58703,100,93.7
0.06,0.2,True,0.7,0.65,1.5,0.3333333333333333,0.16666666666666666,0.0,0.16666666666666666,0.3333333333333333,0.2,0.2,0.3,0.1,0.2,0.30000000000000004,1335,0.561,-3.3069,-4414.69,2026-05-17,58703,100,93.7
0.06,0.2,False,0.6,0.7,1.3,0.22222222222222224,0.3333333333333333,0.0,0.3333333333333333,0.11111111111111112,0.2727272727272727,0.09090909090909091,0.18181818181818182,0.2727272727272727,0.18181818181818182,0.4,3179,0.4536,-3.3133,-10532.88,2026-05-17,58703,100,93.7
0.06,1.0,True,0.6,0.6,1.4,0.375,0.375,0.0,0.12500000000000003,0.12500000000000003,0.25,0.125,0.25,0.125,0.25,0.4,1756,0.5678,-3.322,-5833.4,2026-05-17,58703,100,93.7
0.05,0.2,True,0.8,0.6,1.4,0.3333333333333333,0.22222222222222224,0.0,0.3333333333333333,0.11111111111111112,0.1111111111111111,0.2222222222222222,0.33333333333333326,0.1111111111111111,0.2222222222222222,0.19999999999999996,1463,0.5632,-3.324,-4862.98,2026-05-17,58703,100,93.7
0.03,0.15,False,0.7,0.6,1.3,0.25,0.25,0.0,0.25,0.25,0.25,0.16666666666666669,0.16666666666666669,0.25,0.16666666666666669,0.30000000000000004,4320,0.4681,-3.3302,-14386.48,2026-05-17,58703,100,93.7
0.05,0.1,False,0.5,0.6,1.6,0.25,0.125,0.0,0.25,0.37499999999999994,0.29999999999999993,0.09999999999999998,0.19999999999999996,0.29999999999999993,0.09999999999999998,0.5,2036,0.4681,-3.3471,-6814.63,2026-05-17,58703,100,93.7
