roi,win_rate,n_bets,threshold,w_comb_k_pct,seed
-4.550791888479848,0.5031578947368421,475,2.570627533766642,1.0,24331
-4.5520240782364985,0.5048262548262549,1036,2.0332020153664043,1.0,24331
-4.5570832863324755,0.5036101083032491,554,2.453795635571897,1.0,24331
-4.5570832863324755,0.5036101083032491,554,2.4544343130367645,1.0,24331
-4.5570832863324755,0.5036101083032491,554,2.4535197089056773,1.0,24331
-4.585989332392925,0.501432664756447,349,2.7427510680921503,1.0,24331
-4.594846093331944,0.5014245014245015,351,2.7409982937774036,1.0,24331
-4.614488300674725,0.5033557046979866,596,2.4132722922711762,1.0,24331
-4.617306566094151,0.5034965034965035,572,2.4339117735323303,1.0,24331
-4.624399950878258,0.5,284,2.8404840264206563,1.0,24331
-4.630220831940476,0.504390243902439,1025,2.03862309916346,1.0,24331
-4.660563272740985,0.5,298,2.818412056918066,1.0,24331
-4.71451067721865,0.5039370078740157,762,2.228858531142034,1.0,24331
-4.741854517805928,0.5040106951871658,748,2.247205964841186,1.0,24331
-4.7444469075645355,0.5026929982046678,557,2.449157102090266,1.0,24331
-4.747183151561972,0.5026737967914439,561,2.442530556684762,1.0,24331
-4.747183151561972,0.5026737967914439,561,2.4421280820740128,1.0,24331
-4.751702273645562,0.5024711696869851,607,2.40024138946902,1.0,24331
-4.754824704990976,0.502454991816694,611,2.3883803656085183,1.0,24331
-4.783768509259781,0.5026178010471204,573,2.4331411191847288,1.0,24331
-4.789832597475675,0.5035783994795056,1537,1.7691586849548124,1.0,24331
-4.803510176727365,0.5036255767963085,1517,1.7762706530214736,1.0,24331
-4.809401215253652,0.5034825870646766,1005,2.0537582399444454,1.0,24331
-4.860350919330567,0.5033200531208499,753,2.2384640483720117,1.0,24331
-4.863689820926591,0.5,344,2.7490653621634897,1.0,24331
-4.8854735746502165,0.5,354,2.7343953102638254,1.0,24331
-4.891843292617101,0.50293542074364,1022,2.039913163629279,1.0,24331
-4.896277536044906,0.5018115942028986,552,2.457050324731761,1.0,24331
-4.916672149512929,0.501779359430605,562,2.44126646215272,1.0,24331
-4.917058378670239,0.5016666666666667,600,2.408076768027859,1.0,24331
-4.917274618673758,0.5016393442622951,610,2.3894704325307936,1.0,24331
-4.917274618673758,0.5016393442622951,610,2.388979123493354,1.0,24331
-4.917274618673758,0.5016393442622951,610,2.388949958142027,1.0,24331
-4.927363561035912,0.5017857142857143,560,2.4453554852711052,1.0,24331
-4.934071808552584,0.50285351934052,1577,1.752898907958515,1.0,24331
-4.935108085412413,0.5028499050031665,1579,1.751862632820475,1.0,24331
-4.970771715513425,0.49828178694158076,291,2.8278717933688093,1.0,24331
-4.970771715513425,0.49828178694158076,291,2.826658970539836,1.0,24331
-4.970771715513425,0.49828178694158076,291,2.827516215989858,1.0,24331
-4.978253847588644,0.5024485798237023,1021,2.0437642280350907,1.0,24331
-4.982639486008975,0.5025284450063211,1582,1.750910979876808,1.0,24331
-5.030771508091896,0.5,370,2.7166327904665897,1.0,24331
-5.0369060072600425,0.5,386,2.690458418278913,1.0,24331
-5.064504565029321,0.5008210180623974,609,2.3985476540287847,1.0,24331
-5.0922120654459695,0.5008347245409015,599,2.4099629073051805,1.0,24331
-5.0922120654459695,0.5008347245409015,599,2.4100111600845873,1.0,24331
-5.095252966230008,0.5022914757103575,1091,2.0029962910454406,1.0,24331
-5.099311875596632,0.501875,1600,1.739823743537896,1.0,24331
-5.137361065107362,0.5018159806295399,1652,1.718163811679416,1.0,24331
-5.1585499633285705,0.5016789791806582,1489,1.7885619547678997,1.0,24331
-5.17479250232315,0.5015499070055797,1613,1.7347833784499984,1.0,24331
-5.211403464210575,0.5012515644555695,1598,1.7419248012979596,1.0,24331
-5.2196998583038265,0.501254705144291,1594,1.743777248237474,1.0,24331
-5.23167700416038,0.501230012300123,1626,1.7288627563017829,1.0,24331
-5.238130293829948,0.5013368983957219,1496,1.783510175242789,1.0,24331
-5.2513829899754745,0.5013673655423884,1097,2.0007866936876946,1.0,24331
-5.25433837029278,0.4986301369863014,365,2.720176245567605,1.0,24331
-5.266739375805171,0.5012809564474808,1171,1.954949883514023,1.0,24331
-5.277300926530019,0.5013054830287206,1149,1.967976532344233,1.0,24331
-5.2791232439726015,0.5009404388714733,1595,1.7426087586026247,1.0,24331
-5.285014690932632,0.5013123359580053,1143,1.9717335730809018,1.0,24331
-5.285014690932632,0.5013123359580053,1143,1.9717570139462541,1.0,24331
-5.291362188984005,0.4965034965034965,286,2.836950869637276,1.0,24331
-5.291562705371075,0.5009185548071035,1633,1.7268712254486422,1.0,24331
-5.300743039156069,0.49868073878627966,379,2.6992421990153446,1.0,24331
-5.300743039156069,0.49868073878627966,379,2.7024096433223663,1.0,24331
-5.30252069959765,0.5009253547193091,1621,1.7305013701494083,1.0,24331
-5.314027580136696,0.5009009009009009,1665,1.7098264408221013,1.0,24331
-5.3149519012848385,0.5009019843656043,1663,1.7108423583781593,1.0,24331
-5.347027887984004,0.49866666666666665,375,2.7103195525918737,1.0,24331
-5.347569802958921,0.5008532423208191,1172,1.9541956915039822,1.0,24331
-5.347569802958921,0.5008532423208191,1172,1.9541844075469024,1.0,24331
-5.356203805424644,0.5008771929824561,1140,1.9730020828785864,1.0,24331
-5.358788655870691,0.5008417508417509,1188,1.9390548613605287,1.0,24331
