ml_edge_min,ml_edge_max,favorites_only,rolling_weight_7,rating_cap_low,rating_cap_high,w_rolling_off,w_woba,w_xwoba,w_k_off,w_bb_off,w_rolling_pit,w_fip,w_xfip,w_k_pit,w_bb_pit,rolling_weight_15,n_bets,win_rate,roi,profit
0.03,0.08,False,0.6,0.7,1.6,0.16666666666666666,0.16666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.25,0.25,0.125,0.125,0.25,0.4,2467,0.4714,-1.6284,-4017.3
0.07,0.15,True,0.5,0.7,1.6,0.2,0.3,0.0,0.2,0.3,0.29999999999999993,0.09999999999999998,0.19999999999999996,0.29999999999999993,0.09999999999999998,0.5,833,0.5654,-1.7644,-1469.73
0.04,0.1,False,0.6,0.6,1.5,0.3,0.2,0.0,0.2,0.3,0.08333333333333333,0.16666666666666666,0.24999999999999994,0.24999999999999994,0.24999999999999994,0.4,2616,0.4683,-1.8735,-4901.07
0.05,0.2,True,0.6,0.6,1.3,0.33333333333333337,0.33333333333333337,0.0,0.16666666666666669,0.16666666666666669,0.3,0.1,0.2,0.2,0.2,0.4,1812,0.5767,-2.0145,-3650.21
0.05,0.2,True,0.6,0.7,1.6,0.2,0.4,0.0,0.2,0.2,0.1,0.3,0.2,0.2,0.2,0.4,997,0.5597,-2.0202,-2014.14
0.07,0.15,False,0.8,0.65,1.5,0.28571428571428575,0.14285714285714288,0.0,0.28571428571428575,0.28571428571428575,0.08333333333333333,0.16666666666666666,0.24999999999999994,0.24999999999999994,0.24999999999999994,0.19999999999999996,2175,0.4474,-2.0833,-4531.25
0.06,0.15,True,0.8,0.65,1.4,0.28571428571428575,0.14285714285714288,0.0,0.28571428571428575,0.28571428571428575,0.15384615384615385,0.23076923076923075,0.23076923076923075,0.15384615384615385,0.23076923076923075,0.19999999999999996,1006,0.5656,-2.1245,-2137.21
0.04,0.15,True,0.5,0.65,1.3,0.25,0.25,0.0,0.125,0.37499999999999994,0.22222222222222224,0.3333333333333333,0.11111111111111112,0.22222222222222224,0.11111111111111112,0.5,1474,0.5678,-2.153,-3173.5
0.03,0.08,True,0.8,0.7,1.3,0.2,0.2,0.0,0.3,0.3,0.25,0.25,0.25,0.125,0.125,0.19999999999999996,1071,0.5724,-2.1555,-2308.56
0.04,0.1,True,0.8,0.7,1.4,0.25,0.37499999999999994,0.0,0.125,0.25,0.25,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.25,0.19999999999999996,1212,0.5767,-2.2524,-2729.86
0.07,0.2,True,0.8,0.65,1.5,0.14285714285714288,0.28571428571428575,0.0,0.14285714285714288,0.4285714285714286,0.2727272727272727,0.09090909090909091,0.2727272727272727,0.2727272727272727,0.09090909090909091,0.19999999999999996,892,0.5594,-2.3116,-2061.95
0.04,0.15,False,0.6,0.6,1.6,0.3,0.1,0.0,0.3,0.3,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.4,3701,0.4647,-2.332,-8630.81
0.03,0.2,False,0.6,0.6,1.6,0.2,0.3,0.0,0.3,0.2,0.30000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.10000000000000002,0.4,4821,0.4675,-2.3333,-11248.77
