game_date,home_team,away_team,snapshot_label,snapshot_logged_at,fd_home_ml,fd_away_ml,market_prob_home,market_prob_away,home_win,residual,home_bullpen_3d_pitches,away_bullpen_3d_pitches,home_lineup_vs_away_pitch_mix,away_lineup_vs_home_pitch_mix,home_team_base_runs_delta,away_team_base_runs_delta,home_away_density_altitude_delta,travel_fatigue,market_total_mismatch
2021-04-05,OAK,LAD,historical,,126.0,-148.0,0.425766,0.574234,0,-0.425766,136.0,95.0,-1.96753,3.543777,1.093986,2.344764,-0.5,0.0,-4.5
2021-04-05,SEA,CHW,historical,,100.0,-118.0,0.480176,0.519824,0,-0.480176,63.0,120.0,0.278776,-0.53931,2.925226,3.10763,-0.585,2.0,-4.68
2021-04-05,SD,SF,historical,,-154.0,130.0,0.582374,0.417626,0,-0.582374,109.0,50.0,2.960804,1.187175,1.539667,1.161273,0.0,-1.0,0.0
2021-04-06,DET,MIN,historical,,116.0,-136.0,0.445485,0.554515,1,0.554515,159.0,105.0,-0.649016,-0.247295,1.728977,3.45788,-0.237,0.5,-2.133
2021-04-06,WAS,ATL,historical,,-120.0,102.0,0.524221,0.475779,1,0.475779,0.0,73.0,0.0,-3.268545,,-0.117656,-1.04,,-7.8
2021-04-06,LAA,HOU,historical,,-116.0,-102.0,0.515397,0.484603,0,-0.515397,130.0,159.0,1.060991,0.837339,3.115341,3.854729,0.111,1.0,0.999
2021-04-06,NYY,BAL,historical,,-300.0,245.0,0.721254,0.278746,1,0.278746,129.0,140.0,-0.713001,-0.215058,1.517123,2.530589,0.045,0.0,0.36
2021-04-06,MIA,STL,historical,,-124.0,106.0,0.532788,0.467212,0,-0.532788,84.0,119.0,0.330661,0.487775,1.973871,2.990416,-0.43,0.5,-3.225
2021-04-06,CIN,PIT,historical,,-158.0,134.0,0.588989,0.411011,1,0.411011,143.0,104.0,2.291598,0.983696,3.852774,0.538668,-0.232,0.0,-2.088
2021-04-06,PHI,NYM,historical,,114.0,-134.0,0.449343,0.550657,0,-0.449343,125.0,43.0,-1.801196,-1.819753,1.796088,1.638889,0.03,0.0,0.27
2021-04-06,BOS,TB,historical,,138.0,-164.0,0.403472,0.596528,1,0.596528,158.0,143.0,-0.698915,1.042581,1.946234,1.69929,0.0,0.0,0.0
2021-04-06,CHC,MIL,historical,,-120.0,102.0,0.524221,0.475779,0,-0.524221,76.0,112.0,1.060233,-1.30312,1.981213,1.610959,-0.035,0.0,-0.3325
2021-04-06,TEX,TOR,historical,,118.0,-138.0,0.44169,0.55831,1,0.55831,78.0,95.0,0.336021,0.024231,3.154674,1.300181,0.301,0.5,2.8595
2021-04-06,COL,ARI,historical,,-134.0,114.0,0.550657,0.449343,0,-0.550657,104.0,174.0,0.055056,0.622905,2.619623,0.750033,4.198,0.5,41.98
2021-04-06,OAK,LAD,historical,,152.0,-180.0,0.381679,0.618321,0,-0.381679,187.0,93.0,-1.987827,2.607854,1.147755,2.736646,-0.5,0.0,-4.0
2021-04-06,SD,SF,historical,,-194.0,162.0,0.633544,0.366456,1,0.366456,114.0,68.0,1.780331,0.200927,1.353674,0.623764,0.0,0.0,0.0
2021-04-06,SEA,CHW,historical,,138.0,-164.0,0.403472,0.596528,0,-0.403472,79.0,110.0,-0.013846,-0.500614,2.043574,3.148645,-0.585,1.0,-4.095
2021-04-07,CIN,PIT,historical,,-225.0,188.0,0.665982,0.334018,1,0.334018,107.0,130.0,3.293313,-0.747235,4.585291,0.340025,-0.232,0.0,-1.856
2021-04-07,DET,MIN,historical,,150.0,-178.0,0.384509,0.615491,0,-0.384509,156.0,115.0,1.003626,1.146676,1.746508,2.751531,-0.237,0.5,-1.896
2021-04-07,BOS,TB,historical,,-122.0,104.0,0.528542,0.471458,1,0.471458,167.0,122.0,-0.968394,0.591302,2.166987,2.078979,0.0,0.0,0.0
2021-04-07,TEX,TOR,historical,,164.0,-196.0,0.363887,0.636113,1,0.636113,85.0,118.0,0.203209,1.412182,2.812461,1.357472,0.301,0.5,2.5585
2021-04-07,CHC,MIL,historical,,-112.0,-104.0,0.508909,0.491091,0,-0.508909,85.0,125.0,0.228872,-2.924852,1.532564,1.558732,-0.035,0.0,-0.315
2021-04-07,OAK,LAD,historical,,136.0,-162.0,0.40663,0.59337,1,0.59337,100.0,96.0,-1.652093,3.095066,1.01351,2.299875,-0.5,0.0,-4.0
2021-04-07,PHI,NYM,historical,,-164.0,138.0,0.596528,0.403472,1,0.403472,128.0,118.0,-0.386465,1.072218,1.691688,3.13159,0.03,0.0,0.24
2021-04-07,SD,SF,historical,,-154.0,130.0,0.582374,0.417626,0,-0.582374,131.0,78.0,1.648042,-0.183828,1.296141,0.471839,0.0,0.0,0.0
2021-04-07,MIA,STL,historical,,100.0,-118.0,0.480176,0.519824,0,-0.480176,41.0,159.0,0.712852,0.172532,1.718396,2.860525,-0.43,0.5,-3.01
2021-04-07,SEA,CHW,historical,,124.0,-146.0,0.429289,0.570711,1,0.570711,177.0,113.0,-0.883201,-0.145261,2.172717,3.412091,-0.585,1.0,-4.68
2021-04-07,NYY,BAL,historical,,-210.0,176.0,0.651529,0.348471,0,-0.651529,132.0,132.0,-0.452472,-0.347046,1.689317,2.097319,0.045,0.0,0.405
2021-04-07,COL,ARI,historical,,-102.0,-116.0,0.484603,0.515397,1,0.515397,103.0,69.0,0.466625,0.364108,2.494471,1.820113,4.198,0.5,48.277
2021-04-08,NYM,MIA,historical,,-198.0,166.0,0.638648,0.361352,1,0.361352,142.0,74.0,-0.292422,-0.374039,1.981951,1.362333,0.0,0.0,0.0
2021-04-08,PIT,CHC,historical,,128.0,-152.0,0.42101,0.57899,0,-0.42101,99.0,77.0,-0.050722,-0.293831,0.61594,1.40125,0.127,0.5,1.0795
2021-04-08,BAL,BOS,historical,,300.0,-410.0,0.237209,0.762791,0,-0.237209,113.0,122.0,-0.818266,-0.638857,2.044203,2.716493,0.0,0.0,0.0
2021-04-08,COL,ARI,historical,,-136.0,116.0,0.554515,0.445485,1,0.445485,62.0,52.0,0.972172,-2.31822,2.888004,1.420683,4.198,0.5,46.178
2021-04-08,MIN,SEA,historical,,-210.0,176.0,0.651529,0.348471,1,0.348471,124.0,191.0,1.00422,-0.402647,2.652156,2.893931,0.827,1.0,7.0295
2021-04-08,CHW,KC,historical,,-156.0,132.0,0.585707,0.414293,1,0.414293,116.0,86.0,1.020908,0.703084,3.252193,2.957743,-0.146,0.0,-1.168
2021-04-08,STL,MIL,historical,,120.0,-142.0,0.436508,0.563492,1,0.563492,135.0,117.0,-0.277009,-0.721308,3.021801,1.512469,-0.19,0.0,-1.33
2021-04-08,TOR,LAA,historical,,-112.0,-104.0,0.508909,0.491091,0,-0.508909,107.0,114.0,0.947698,0.45634,0.941417,2.646537,0.096,0.5,0.96
2021-04-08,HOU,OAK,historical,,-156.0,132.0,0.585707,0.414293,1,0.414293,76.0,102.0,2.017611,-1.958142,3.261294,1.186788,0.033,2.0,0.33
2021-04-09,TB,NYY,historical,,120.0,-142.0,0.436508,0.563492,1,0.563492,76.0,85.0,-0.419832,-0.51353,1.916855,1.58378,-0.045,0.0,-0.3825
2021-04-09,LAD,WAS,historical,,-295.0,240.0,0.717454,0.282546,1,0.282546,57.0,116.0,2.466015,1.094125,2.171322,1.43465,0.5,1.5,4.25
2021-04-09,SF,COL,historical,,-154.0,130.0,0.582374,0.417626,1,0.417626,55.0,83.0,-0.639598,0.438555,0.613355,3.120676,-5.27,1.5,-42.16
2021-04-09,TOR,LAA,historical,,106.0,-124.0,0.467212,0.532788,0,-0.467212,114.0,100.0,0.721431,0.759014,1.130621,2.86172,0.096,1.5,1.056
2021-04-09,ATL,PHI,historical,,-126.0,108.0,0.536961,0.463039,1,0.463039,127.0,71.0,-2.1778,0.35646,0.131089,1.871534,1.01,0.0,7.575
2021-04-09,TEX,SD,historical,,160.0,-190.0,0.369898,0.630102,0,-0.369898,76.0,37.0,0.428308,1.285089,2.360775,1.197674,0.541,1.0,4.869
2021-04-09,HOU,OAK,historical,,-178.0,150.0,0.615491,0.384509,0,-0.615491,76.0,68.0,1.407036,-1.446236,3.086708,1.17608,0.033,1.0,0.297
2021-04-09,ARI,CIN,historical,,128.0,-152.0,0.42101,0.57899,0,-0.42101,31.0,75.0,-1.280741,3.167069,1.341105,4.551018,0.592,0.5,5.624
2021-04-10,NYM,MIA,historical,,-300.0,245.0,0.721254,0.278746,0,-0.721254,64.0,79.0,0.203706,-0.436295,1.471757,1.375599,0.0,0.0,0.0
2021-04-10,TB,NYY,historical,,118.0,-138.0,0.44169,0.55831,1,0.55831,54.0,134.0,0.131405,0.162419,2.38905,1.693036,-0.045,0.0,-0.4275
2021-04-10,MIN,SEA,historical,,-188.0,158.0,0.627445,0.372555,0,-0.627445,52.0,65.0,1.617545,-0.232432,2.623595,2.476411,0.827,1.0,6.616
2021-04-10,STL,MIL,historical,,-116.0,-102.0,0.515397,0.484603,0,-0.515397,65.0,53.0,-0.032489,-1.19833,2.757102,1.331627,-0.19,0.0,-1.52
