game_date,home_team,away_team,snapshot_label,snapshot_logged_at,fd_home_ml,fd_away_ml,market_prob_home,market_prob_away,home_win,residual
2021-04-17,MIL,PIT,historical,,-144.0,122.0,0.56713,0.43287,1,0.43287
2021-04-17,SD,LAD,historical,,106.0,-124.0,0.467212,0.532788,0,-0.467212
2021-04-17,SEA,HOU,historical,,118.0,-138.0,0.44169,0.55831,0,-0.44169
2021-04-18,NYY,TB,historical,,-240.0,198.0,0.677786,0.322214,0,-0.677786
2021-04-18,PHI,STL,historical,,-184.0,154.0,0.622019,0.377981,1,0.377981
2021-04-18,WAS,ARI,historical,,-164.0,138.0,0.596528,0.403472,0,-0.596528
2021-04-18,MIA,SF,historical,,-152.0,128.0,0.57899,0.42101,0,-0.57899
2021-04-18,BOS,CHW,historical,,-116.0,-102.0,0.515397,0.484603,0,-0.515397
2021-04-18,MIL,PIT,historical,,-215.0,180.0,0.656489,0.343511,0,-0.656489
2021-04-18,KC,TOR,historical,,-138.0,118.0,0.55831,0.44169,1,0.44169
2021-04-18,TEX,BAL,historical,,-106.0,-110.0,0.495548,0.504452,1,0.504452
2021-04-18,COL,NYM,historical,,390.0,-580.0,0.193072,0.806928,0,-0.193072
2021-04-18,OAK,DET,historical,,-156.0,132.0,0.585707,0.414293,1,0.414293
2021-04-18,SEA,HOU,historical,,110.0,-130.0,0.457256,0.542744,1,0.542744
2021-04-18,SD,LAD,historical,,110.0,-130.0,0.457256,0.542744,1,0.542744
2021-04-18,CHC,ATL,historical,,-136.0,116.0,0.554515,0.445485,0,-0.554515
2021-04-19,BOS,CHW,historical,,-102.0,-116.0,0.484603,0.515397,1,0.515397
2021-04-19,PHI,SF,historical,,-102.0,-116.0,0.484603,0.515397,0,-0.484603
2021-04-19,WAS,STL,historical,,-104.0,-112.0,0.491091,0.508909,0,-0.491091
2021-04-19,KC,TB,historical,,-106.0,-110.0,0.495548,0.504452,0,-0.495548
2021-04-19,LAA,TEX,historical,,-240.0,198.0,0.677786,0.322214,0,-0.677786
2021-04-19,SD,MIL,historical,,-178.0,150.0,0.615491,0.384509,0,-0.615491
2021-04-19,SEA,LAD,historical,,172.0,-205.0,0.353582,0.646418,1,0.646418
2021-04-20,SEA,LAD,historical,,160.0,-190.0,0.369898,0.630102,0,-0.369898
2021-04-20,NYY,ATL,historical,,-126.0,108.0,0.536961,0.463039,1,0.463039
2021-04-20,MIA,BAL,historical,,-120.0,102.0,0.524221,0.475779,0,-0.524221
2021-04-20,WAS,STL,historical,,-130.0,110.0,0.542744,0.457256,1,0.457256
2021-04-20,PHI,SF,historical,,-146.0,124.0,0.570711,0.429289,0,-0.570711
2021-04-20,BOS,TOR,historical,,-116.0,-102.0,0.515397,0.484603,1,0.484603
2021-04-20,CHC,NYM,historical,,108.0,-126.0,0.463039,0.536961,1,0.536961
2021-04-20,KC,TB,historical,,-104.0,-112.0,0.491091,0.508909,0,-0.491091
2021-04-20,COL,HOU,historical,,106.0,-124.0,0.467212,0.532788,1,0.532788
2021-04-20,LAA,TEX,historical,,-196.0,164.0,0.636113,0.363887,1,0.363887
2021-04-20,SD,MIL,historical,,-104.0,-112.0,0.491091,0.508909,0,-0.491091
2021-04-21,PHI,SF,historical,,-122.0,104.0,0.528542,0.471458,1,0.471458
2021-04-21,MIA,BAL,historical,,-164.0,138.0,0.596528,0.403472,1,0.403472
2021-04-21,COL,HOU,historical,,134.0,-158.0,0.411011,0.588989,1,0.588989
2021-04-21,OAK,MIN,historical,,-112.0,-104.0,0.508909,0.491091,1,0.491091
2021-04-21,WAS,STL,historical,,-174.0,146.0,0.609709,0.390291,1,0.390291
2021-04-21,LAA,TEX,historical,,-180.0,152.0,0.618321,0.381679,0,-0.618321
2021-04-21,SD,MIL,historical,,-220.0,184.0,0.661304,0.338696,0,-0.661304
2021-04-21,CIN,ARI,historical,,-164.0,138.0,0.596528,0.403472,0,-0.596528
2021-04-21,NYY,ATL,historical,,-134.0,114.0,0.550657,0.449343,0,-0.550657
2021-04-21,BOS,TOR,historical,,-136.0,116.0,0.554515,0.445485,0,-0.554515
2021-04-21,CHC,NYM,historical,,114.0,-134.0,0.449343,0.550657,1,0.550657
2021-04-21,KC,TB,historical,,-104.0,-112.0,0.491091,0.508909,1,0.508909
2021-04-22,CIN,ARI,historical,,-146.0,124.0,0.570711,0.429289,0,-0.570711
2021-04-22,DET,PIT,historical,,-126.0,108.0,0.536961,0.463039,0,-0.536961
