"pitches","player_id","player_name","game_date","game_pk","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
11,681982,"Anderson, Grant","2023-07-15",717402,11,100,0.333,0,0.333,0.333,0.294,0.187,0.202,1,3,86.1,-7.7,2297,88,88.58,0,3,8,0.5999999999999943,6.59,105,145,109,146,310,325,297,"0.257","-0.257","73.2","7.2",3,3,1,0,0,0,0,0,0,0,2.46636,0.48727,0.46273,-0.25909,"90.3",38,0,0,0,4.26,-2.94,0.63,2.34,0.333,0,"-2.336363636",0.202,0.218,"2.336363636",0.131,0.131,0.115,0.107,0,"2.0",2.8613078176066473,4.32151503658791,32.90420513341458,0.3333333333333333,38.78303889163549,26.77433020701582
11,592426,"Jackson, Luke","2025-04-22",778213,11,100,0,0,0,0,0,0.098,0.105,0,3,81.8,-14.7,2340,88.5,88.9,1,4,7,0.4000000000000057,6.7,122,153,117,150,308,331,302,"0.771","-0.771","68.5","7.1",3,3,0,0,0,0,0,0,0,0,2.92182,0.02818,-0.06727,0.12545,"90.6",15,33.33333333333333,0,0,6.45,-2.3,0.07,2.33,0,0,"-7.009090909",0.105,0.13,"7.009090909",-0.105,-0.105,-0.13,-0.098,25,"52.3",6.766889774003442,3.557258998539617,29.545589426682874,0.75,37.448725722641626,27.32749816393484
11,666374,"Brash, Matt","2025-06-30",777297,11,100,0,0,0,0,0,0.063,0.057,0,3,88.9,-11,2470,90.9,90.65,1,3,8,-0.20000000000000284,6.25,122,148,121,150,286,318,297,"0.772","-0.772","73.8","7.6",3,2,0,0,0,0,1,33.3,0,0,2.68182,0.11455,0.11636,0.24909,"89.2",171,0,0,0,5.32,-2.41,-0.17,2.78,0,0,"-7.018181818",0.057,0.094,"7.018181818",-0.057,-0.057,-0.094,-0.063,33.3,"33.1",12.842323136580806,-6.02928884400233,26.53413482791407,1,35.059246891052055,31.41449087795918
11,519293,"Smith, Will","2023-09-29",716379,11,100,0,0,0,0,0,0.076,0.085,0,3,81.9,15.5,2278,84.2,84.19,3,5,6,0,6.07,123,149,134,152,304,319,297,"0.808","-0.808","61.2","7.7",3,2,0,0,0,0,1,33.3,0,0,2.94545,0.28545,-0.12455,-0.13,"88.0",146,0,0,0,6.52,1.38,-0.62,1.64,0,0,"-7.345454545",0.085,0.108,"7.345454545",-0.085,-0.085,-0.108,-0.076,60,"44.7",22.715653807247918,-4.398162447361452,31.90326536107091,0.5,38.978971352993995,33.96541583641935
11,663462,"Campbell, Isaiah","2023-09-08",716671,11,100,0.333,1,0,1.333,0.675,0.441,0.224,1,3,81.7,-1.5,2691,85.3,85.18,2,4,7,-0.09999999999999432,6.43,104,150,117,148,309,332,303,"-2.028","2.028","64.1","7.3",4,2,0,0,0,1,1,25,1,25,2.94182,0.24,-0.59818,-0.18182,"96.9",190,50,50,25,6.47,-1.67,0.12,2.08,0.5,1,"18.436363636",0.418,0.659,"-18.436363636",0.109,0.08200000000000002,0.674,0.234,50,"48.6",6.1710232346031555,4.5851661067046905,34.50703164155452,0.5,36.06138002258341,27.448784000041595
11,571901,"Loup, Aaron","2023-07-25",717265,11,100,0,0,0,0,0,0.136,0.143,0,3,91.2,4,2122,86.2,85.56,4,9,2,-0.6000000000000085,5.99,117,151,115,144,300,331,293,"0.804","-0.804","72.1","7.2",3,1,0,0,0,0,2,66.7,0,0,3.03455,0.09455,1.10273,-1.10273,"88.6",136,0,0,0,4.17,3.54,-0.18,1.91,0,0,"-7.309090909",0.143,0.165,"7.309090909",-0.143,-0.143,-0.165,-0.136,44.4,"4.2",4.218078617680632,0.49266576502417525,36.054720601143686,0.5,31.961408632314196,26.993963520734646
11,656271,"Burke, Brock","2025-06-03",777667,11,100,0.333,0.333,0.333,0.667,0.417,0.151,0.109,1,3,91.7,12.3,2198,92.4,92.86,0,4,7,0.5,6.68,105,150,116,146,283,319,309,"0.047","-0.047","73.0","7.1",3,3,0,1,0,0,0,0,0,0,1.70818,0.98273,0.83727,0.04636,"91.0",229,33.33333333333333,0,0,6.24,1.89,-0.35,2.59,0.333,0,"-0.427272727",0.109,0.25,"0.427272727",0.224,0.22400000000000003,0.417,0.266,0,"41.9",11.662174839274906,6.175915128272328,27.043887542344322,0.75,36.836323224431816,30.91251815354093
11,623437,"Topa, Justin","2023-07-16",717373,11,100,0,0,0,0,0,0.082,0.091,0,3,90.7,-15.5,2136,90,89.95,2,6,5,-0.09999999999999432,6.14,120,148,121,150,293,319,301,"0.808","-0.808","66.6","6.8",3,2,0,0,0,0,1,33.3,0,0,2.81182,0.01909,0.85273,-0.02,"89.6",46,0,0,0,4.78,-2.33,-0.31,2.13,0,0,"-7.345454545",0.091,0.134,"7.345454545",-0.091,-0.091,-0.134,-0.082,33.3,"10.9",6.348633978459324,5.582577582662757,33.915242893043185,0.5,41.083752031914045,26.402646612711514
11,455119,"Martin, Chris","2025-04-04",778454,11,100,0.333,0,0.5,0.333,0.294,0.355,0.383,1,3,67.4,18.5,2046,91.6,91.9,3,7,4,0.30000000000001137,6.55,112,152,111,152,286,322,292,"0.257","-0.257","71.4","7.0",3,2,1,0,0,0,1,33.3,0,0,1.93727,0.79182,0.63545,-0.15364,"88.0",141,0,0,0,6.19,-2.86,-0.19,2.12,0.333,0,"-2.336363636",0.383,0.419,"2.336363636",-0.05,-0.04999999999999999,-0.086,-0.061,42.9,"42.2",6.513728439933896,7.543365575991803,27.482748172928414,0.42857142857142855,36.890156246827026,24.554351780085597
11,660825,"Bazardo, Eduard","2025-09-09",776391,11,100,0,0,0,0,0,0.072,0.068,0,3,87.9,34,2220,94.8,94.02,0,4,7,-0.7999999999999972,5.89,118,152,106,146,288,318,279,"0.773","-0.773","67.6","6.2",3,2,0,0,0,0,1,33.3,0,0,1.66091,0.88182,1.40091,0.33,"89.5",256,0,0,0,5.79,-1.9,-0.04,2.45,0,0,"-7.027272727",0.068,0.113,"7.027272727",-0.068,-0.068,-0.113,-0.072,0,"43.5",1.4828132556458558,7.130663143687595,35.78401456753218,0.5,30.461498623516583,25.386834643649987
