"pitches","player_id","player_name","game_date","game_pk","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
30,475479,"Phelps, David","2022-09-20",661591,30,100,0.286,0.429,0.167,0.714,0.456,0.359,0.195,2,7,89.4,22,2393,88.6,87.03,3,14,16,-1.5999999999999943,5.4,119,160,125,153,295,319,282,"-1.465","1.465",,,8,7,1,0,0,1,0,0,1,12.5,2.129,0.80767,0.348,0.054,"90.5",133,28.57142857142857,14.285714285714285,12.5,6.23,-2.45,0.37,2.42,0.375,1,"4.883333333",0.295,0.558,"-4.883333333",0.091,0.08000000000000002,0.156,0.097,21.4,"39.7",,,,,,
30,670950,"Richards, Trevor","2022-08-25",663172,30,100,0.2,0.2,0.5,0.4,0.252,0.148,0.154,1,5,96.9,9,2370,90,90.4,5,14,16,0.4000000000000057,6.44,120,154,119,150,281,322,297,"-0.357","0.357",,,5,2,0,1,0,0,3,60,0,0,1.682,1.139,0.61767,0.07167,"91.0",127,100,0,0,6.14,-2.17,0.02,2.29,0.2,0,"1.19",0.154,0.202,"-1.19",0.046,0.04600000000000001,0.198,0.104,35.7,"53.9",,,,,,
30,641501,"Danish, Tyler","2022-05-10",661549,30,100,0.143,0,0.2,0.143,0.126,0.33,0.334,1,7,91.7,9.6,1976,87.6,85.91,4,14,16,-1.6999999999999886,5.26,106,155,119,150,303,337,294,"1.089","-1.089",,,7,5,1,0,0,0,2,28.6,0,0,2.86767,0.13333,0.62933,0.37133,"93.4",175,40,0,0,4.9,-2.13,-0.11,2.15,0.143,0,"-3.63",0.334,0.424,"3.63",-0.191,-0.19100000000000003,-0.281,-0.204,28.6,"9.7",,,,,,
30,676534,"Faucher, Calvin","2022-05-09",663438,30,100,0.5,0.5,0.5,1,0.652,0.677,0.406,3,6,99.8,20,2640,89.1,88.06,1,8,22,-1,5.59,116,148,103,147,303,324,295,"-1.776","1.776",,,8,5,2,0,0,1,1,12.5,2,25,2.864,0.00926,-0.11333,0.082,"96.4",267,80,20,12.5,5.7,-1.58,-0.01,2.32,0.625,1,"5.92",0.555,1.225,"-5.92",0.094,0.06999999999999995,-0.225,-0.025,12.5,"34.3",,,,,,
30,622253,"Tate, Dillon","2022-09-06",663458,30,100,0.286,0.286,0.4,0.571,0.36,0.283,0.291,2,7,91.9,24.8,2217,85.8,85.62,3,17,13,-0.20000000000000284,6.34,104,152,117,148,316,317,292,"-0.206","0.206",,,7,5,0,2,0,0,2,28.6,0,0,2.67633,0.49633,0.16867,0.16867,"92.6",168,20,0,0,5.33,-2.21,0.04,2.09,0.286,0,"0.686666667",0.291,0.346,"-0.686666667",-0.005,-0.0050000000000000044,0.225,0.077,17.6,"23.7",,,,,,
30,676710,"Crawford, Kutter","2022-05-05",663227,30,100,0.286,0.429,0.25,0.714,0.422,0.305,0.182,2,7,83.2,21.4,2432,95.2,94.44,4,14,16,-0.7999999999999972,6.26,109,157,131,146,289,325,307,"-0.389","0.389",,,7,5,1,0,0,1,2,28.6,0,0,1.034,1.52767,0.574,-0.31733,"90.1",228,20,20,14.285714285714285,5.95,-1.87,0.03,2.73,0.286,1,"1.296666667",0.182,0.556,"-1.296666667",0.104,0.10399999999999998,0.158,0.117,28.6,"48.2",,,,,,
30,666974,"Cano, Yennier","2022-10-05",663272,30,100,0.143,0,0.25,0.143,0.126,0.18,0.161,1,7,95.1,22,2138,92.9,91.78,1,14,16,-1.1000000000000085,5.79,116,152,119,153,298,311,292,"1.055","-1.055",,,7,4,1,0,0,0,3,42.9,0,0,2.437,0.232,1.32133,0.274,"91.4",122,50,0,0,5.49,-2.44,0.19,2.44,0.143,0,"-3.516666667",0.161,0.265,"3.516666667",-0.018,-0.018000000000000016,-0.122,-0.054,7.1,"12.5",,,,,,
30,656061,"Abreu, Albert","2022-08-07",661948,30,100,0.333,0.167,0.667,0.5,0.405,0.26,0.165,2,6,94.9,28.7,2171,95.9,96.45,1,7,23,0.5999999999999943,6.5,106,154,119,151,298,325,299,"-0.495","0.495",,,7,3,1,1,0,0,3,42.9,1,14.3,1.545,0.942,0.75333,0.324,"96.0",214,33.33333333333333,0,0,5.81,-1.25,-0.24,2.52,0.429,0,"1.65",0.284,0.283,"-1.65",0.168,0.14500000000000002,0.217,0.145,14.3,"36.6",,,,,,
30,518489,"Brasier, Ryan","2022-06-29",661727,30,100,0.4,0.4,0.667,0.8,0.535,0.315,0.24,2,5,86.8,-1.7,2397,89.8,90.42,1,13,17,0.6000000000000085,6.89,118,158,122,153,299,331,293,"-0.764","0.764",,,6,3,0,2,0,0,2,33.3,1,16.7,2.41,0.47533,-0.04033,-0.091,"90.6",185,0,0,0,5.69,-1.38,0.42,2.03,0.5,0,"2.546666667",0.367,0.311,"-2.546666667",0.16,0.133,0.489,0.22,7.7,"39.3",,,,,,
30,676477,"Whitlock, Garrett","2022-09-03",663214,30,100,0.4,0.6,0.4,1,0.591,0.352,0.262,4,10,88.8,30,2124,90.8,92.24,9,21,9,1.4000000000000057,7.2,110,155,116,150,283,325,296,"-1.885","1.885",,,10,7,2,0,0,2,3,30,0,0,2.11933,0.68467,0.9631,-0.13345,"91.3",233,42.857142857142854,0,0,5.55,-1.41,0.13,2.19,0.4,0,"6.283333333",0.262,0.573,"-6.283333333",0.138,0.138,0.427,0.239,42.9,"34.5",,,,,,
