key_retro,key_fangraphs,key_mlbam,name_last,name_first
dozid001,1003471,113536,Dozier,D. J.
claip001,10500,502011,Claiborne,Preston
murrt101,1009400,119577,Murray,Tony
rodrj008,24388,679563,Rodriguez,José
willc101,1013980,124292,Williams,Charlie
herso001,1005741,115861,Hershiser,Orel
hrinw101,1006118,116244,Hriniak,Walt
mcnag102,1008663,118849,McNaughton,Gordon
mercm101,1008777,118965,Mercer,Mark
turns003,16207,605513,Turnbull,Spencer
squim001,1012371,122628,Squires,Mike
stegd001,1012460,122716,Stegman,Dave
carrl101,1001994,112029,Carr,Lew
pedra001,1010121,120349,Pedrique,Al
shepr101,1011865,122124,Shepardson,Ray
dennr001,9261,572810,Dennick,Ryan
maddf101,1007940,118108,Madden,Frank
bartb101,1000630,110648,Barton,Bob
riddd101,1010945,121191,Riddlemoser,Dorsey
johnn001,828,276376,Johnson,Nick
dillp102,1003306,113372,Dillon,Packy
dankj002,9187,458668,Danks,Jordan
kelsb101,1006820,116965,Kelso,Bill
sprig101,1012359,122615,Spriggs,George
martj102,1008205,118385,Marty,Joe
winkj002,13590,608385,Winker,Jesse
zannd101,1014417,124742,Zanni,Dom
melik001,8278,448590,Melillo,Kevin
keagg001,1006726,116871,Keagle,Greg
adamm002,9393,571431,Adams,Matt
grosg002,2184,408212,Gross,Gabe
pricd001,3184,456034,Price,David
zaucn101,1014422,124747,Zauchin,Norm
lopeh101,1007755,117918,López,Héctor
daviw103,1003087,113145,Davis,Wiley
gutir001,387,115263,Gutiérrez,Ricky
davib106,1003034,113097,Davis,Bill
woodc001,1329,218595,Woodward,Chris
helft101,1005612,115726,Helfrich,Ty
murpd002,1009359,119551,Murphy,Dwayne
tylek001,22092,667725,Tyler,Kyle
harrb114,1005401,115542,Harrison,Bob
wisdp001,13602,621550,Wisdom,Patrick
hudsk001,3658,543340,Hudson,Kyle
delaa101,1003162,113225,Delaney,Art
greeg002,10053,502205,Green,Grant
cordm001,132,112682,Cordova,Marty
marel101,1008104,118281,Marentette,Leo
rodrr003,1011112,121364,Rodríguez,Rosario
hoggb101,1005927,116050,Hogg,Bill
kreir001,25867,668952,Kreidler,Ryan
sittb001,19192,670087,Sittinger,Brandyn
smitp102,1012190,122444,Smith,Pete
cormr001,952,112690,Cormier,Rheal
pennw001,1010163,120387,Pennyfeather,Will
browt102,1001562,111595,Brown,Tom
bolae101,1001138,111167,Boland,Ed
marqb001,21896,666622,Márquez,Brailyn
schaa101,1011503,121754,Schacht,Al
stinj001,3219,502139,Stinson,Josh
dunnm001,1003570,113642,Dunne,Mike
ciprf101,1002244,112296,Cipriani,Frank
burrj101,1001732,111774,Burrows,John
crisd102,1002771,112830,Criscione,Dave
morij001,3369,434623,Morillo,Juan
laroj101,1007357,117511,LaRose,John
crocg001,27463,676979,Crochet,Garrett
dunnt001,1003579,113641,Dunn,Todd
martl003,8651,501687,Marte,Luis
taylb003,12384,607333,Taylor,Beau
brazc001,2081,425513,Brazell,Craig
tracm001,12240,595441,Tracy,Matt
hamid101,1005271,115379,Hamilton,Dave
montl002,6601,452215,Montz,Luke
burkg001,6282,457566,Burke,Greg
frymw101,1004381,114466,Fryman,Woodie
garcj005,12143,592329,García,Jason
plymj001,1010401,120632,Plympton,Jeff
brica001,17237,592169,Brice,Austin
tsenj001,15524,627500,Tseng,Jen-Ho
browg102,1001519,111605,Browne,George
depaj002,1827,425428,De Paula,Jorge
martd001,1008161,118371,Martínez,Dennis
davim005,7226,571602,Davidson,Matt
campb102,1001875,111922,Campbell,Bruce
millb112,1008872,119131,Miller,Bill
odeak101,1009722,119929,O'Dea,Ken
whisc001,31676,687931,Whisenhunt,Carson
naglj101,1009437,119639,Nagle,Judge
may-t001,6398,543507,May,Trevor
estrj002,22210,669093,Estrada,Jeremiah
oroum101,1009842,120060,O'Rourke,Mike
freds001,1004312,114396,Fredrickson,Scott
peguc001,8760,451713,Peguero,Carlos
purno101,1010574,120809,Purner,Oscar
ortej001,9651,514639,Ortega,José
davik003,9112,501981,Davis,Khris
watkp001,1013672,123980,Watkins,Pat
gracm101,1004914,115009,Grace,Mike
tompc101,1013113,123391,Tompkins,Chuck
mapec101,1008094,118271,Mapes,Cliff
shels101,1011861,122119,Shelton,Skeeter
turbg101,1013220,123504,Turbeville,George
manst101,1008079,118254,Mansell,Tom
gregf101,1005023,115119,Gregory,Frank
rizzj101,1011009,121256,Rizzo,Johnny
marmc001,2790,461791,Marmól,Carlos
mahlr001,1007988,118162,Mahler,Rick
sadlc001,1568,424725,Sadler,Carl
colea002,11467,595918,Cole,A. J.
marrd001,13325,571918,Marrero,Deven
waldm003,25550,663362,Waldron,Matt
brucl101,1001574,111614,Bruce,Lou
priee001,1010534,133222,Priest,Eddie
mcfag101,1008485,118668,McFadden,Guy
garcg002,10951,594824,Garcia,Greg
walsj103,1013578,123884,Walsh,Joe
batik001,1000665,110685,Batiste,Kevin
moscr101,1009237,119431,Moschitto,Ross
drauj101,1003485,113550,Drauby,Jake
marte001,1086,118365,Martínez,Edgar
reyna001,72,121117,Reynoso,Armando
rosez101,1011202,121457,Rosebraugh,Rosie
campk002,33644,692225,Campbell,Kristian
rodre004,13164,593958,Rodríguez,Eduardo
theor101,1012949,123221,Theobald,Ron
richc001,163,276537,Richard,Chris
tates001,1012839,123105,Tate,Stu
bankw002,4661,457821,Bankston,Wes
woodc101,1014235,124559,Woods,Clarence
suskp101,1012732,122993,Susko,Pete
goodb101,1004856,114952,Goodman,Billy
wilss002,20353,621051,Wilson,Steven
hoakd101,1005866,115988,Hoak,Don
burnh101,1001697,111738,Burnett,Hercules
conwe101,1002559,112615,Conwell,Ed
firod001,1004064,114144,Firova,Daniel
browp103,1001555,111607,Browne,Pidge
rothb102,1011238,121489,Roth,Braggo
bailf101,1000422,110442,Bailey,Fred
foppj001,1688,425817,Foppert,Jesse
willa003,16309,657117,Williams,Austen
goodw101,1004865,114944,Good,Wilbur
aberr001,2187,430631,Abercrombie,Reggie
maddm001,1007944,118110,Madden,Mike
tavew001,1876,430838,Taveras,Willy
grayj003,14916,592351,Gray,Jon
sched101,1011556,121806,Schesler,Dutch
parmi001,13821,622210,Parmley,Ian
jordb001,658,116747,Jordan,Brian
lestj002,17737,623507,Lester,Josh
piezs101,1010343,120573,Piez,Sandy
tingr001,1013074,123352,Tingley,Ron
hensc001,1005680,115796,Hensley,Chuck
millc102,1008881,119061,Miller,Charlie
bedrc001,13360,592135,Bedrosian,Cam
billc001,5842,451532,Billingsley,Chad
spenb101,1012318,122585,Spencer,Ben
millc101,1008880,119062,Miller,Chuck
mccom102,1008418,118599,McCormick,Mike
stews001,1012528,122783,Stewart,Sammy
fordg102,1004220,114301,Ford,Gene
younc103,1014365,124687,Young,Charlie
steem101,1012458,122714,Steevens,Morrie
couss001,173,502161,Cousins,Scott
trubc001,799,150067,Truby,Chris
boehg101,1001114,111142,Boehler,George
lyont103,1007888,118054,Lyons,Terry
laket001,1681,117420,Laker,Tim
rutsa001,26288,668939,Rutschman,Adley
campc102,1001894,111942,Camper,Cardell
mesod001,5666,519023,Mesoraco,Devin
thomt002,9952,572204,Thompson,Trayce
bonib001,1001168,111199,Bonilla,Bobby
mandc101,1008052,118227,Manda,Carl
denmb101,1003205,113267,Denman,Brian
oleac101,1009765,119973,O'Leary,Charley
paulg101,1010083,120311,Paulsen,Gil
munod001,12214,594940,Muno,Daniel
seanr001,1279,121955,Seánez,Rudy
harrn101,1005426,115533,Harris,Ned
chaph101,1002154,112207,Chappas,Harry
harks101,1005365,115478,Harkness,Spec
silvc001,973,400067,Silva,Carlos
thomb106,1013002,123275,Thompson,Bobby
holmc001,13649,605280,Holmes,Clay
edmop101,1003680,113746,Edmondson,Paul
tomeg101,1013109,123386,Tomer,George
may-c101,1008291,118468,May,Carlos
wilhs101,1013948,124258,Wilhelm,Spider
rossj001,1011228,121482,Rosselli,Joe
mallj102,1008030,118201,Mallonee,Jule
ellim001,1443,407885,Ellis,Mark
zeidr101,1014428,124754,Zeider,Rollie
puelc001,7216,527049,Puello,César
toddj101,1013096,123373,Todd,Jackson
uhalf101,1013263,123547,Uhalt,Frenchy
eastp101,1003641,113710,Easterling,Paul
meadj101,1008704,118889,Meador,Johnny
manzk001,29794,700932,Manzardo,Kyle
grifp102,1005049,115145,Griffin,Pat
malit101,1008018,118193,Malinosky,Tony
browk002,1001534,111565,Brown,Keith
jumog101,1006649,116791,Jumonville,George
peplh101,1010168,120392,Peploski,Henry
ramsl001,25071,682010,Ramsey,Lane
auder001,1000361,110375,Aude,Rich
taylf101,1012871,123136,Taylor,Fred
judga001,15640,592450,Judge,Aaron
kerlo101,1006864,117011,Kerlin,Orie
gomel001,1004822,114911,Gómez,Leo
gileb001,1004702,114788,Giles,Brian
twomg101,1013248,123532,Twombly,George
sutcb101,1012733,122994,Sutcliffe,Butch
lahtj001,1007257,117412,Lahti,Jeff
taylj102,1012878,123145,Taylor,Jack
storm001,4721,493547,Storey,Mickey
snydj102,1012248,137204,Snyder,Jack
cinta001,50,400090,Cintrón,Alex
lockr101,1007691,117852,Locke,Ron
harda101,1005348,115461,Hardy,Alex
vasqa002,19482,607755,Vasquez,Andrew
