season,player_id,name,bats,throws
2022,chavm001,Michael Chavis,R,R
2022,chirr001,Robinson Chirinos,R,R
2022,chiry001,Yonny Chirinos,R,R
2022,chisj001,Jazz Chisholm,L,R
2022,choij001,Ji-Man Choi,L,R
2022,cimba001,Adam Cimber,R,R
2022,cishs001,Steve Cishek,R,R
2022,cisnj001,Jose Cisnero,R,R
2022,civaa001,Aaron Civale,R,R
2022,clart003,Taylor Clarke,R,R
2022,clase001,Emmanuel Clase,R,R
2022,claua001,Alex Claudio,L,L
2022,clays001,Sam Clay,L,L
2022,cleag001,Garrett Cleavinger,R,L
2022,cleme002,Ernie Clement,R,R
2022,clemk001,Kody Clemens,L,R
2022,clevm001,Mike Clevinger,R,R
2022,clipt001,Tyler Clippard,R,R
2022,cobba001,Alex Cobb,R,R
2022,coled003,Dylan Coleman,R,R
2022,coleg001,Gerrit Cole,R,R
2022,collz001,Zack Collins,L,R
2022,coloa001,Alex Colome,R,R
2022,contm001,Mark Contreras,L,R
2022,contr001,Roansy Contreras,R,R
2022,contw001,Willson Contreras,R,R
2022,contw002,William Contreras,R,R
2022,coons001,Sam Coonrod,R,R
2022,coopg002,Garrett Cooper,R,R
2022,corbp001,Patrick Corbin,L,L
2022,cordf003,Franchy Cordero,L,R
2022,corrc001,Carlos Correa,R,R
2022,cortn001,Nestor Cortes,R,L
2022,cottj001,Jharel Cotton,R,R
2022,could001,Danny Coulombe,L,L
2022,cousj001,Jake Cousins,R,R
2022,crawb001,Brandon Crawford,L,R
2022,crawj002,J. P. Crawford,L,R
2022,crawk001,Kutter Crawford,R,R
2022,crick001,Kyle Crick,L,R
2022,crisc002,Cooper Criswell,R,R
2022,crisn001,Nabil Crismatt,R,R
2022,cronc002,C. J. Cron,R,R
2022,cronj001,Jake Cronenworth,L,R
2022,croon001,Narciso Crook,R,R
2022,croww001,Wil Crowe,R,R
2022,cruzf002,Fernando Cruz,B,R
2022,cruzj006,Jesus Cruz,R,R
2022,cruzn002,Nelson Cruz,R,R
2022,cruzo001,Oneil Cruz,L,R
2022,cuasj001,Jose Cuas,R,R
2022,cuetj001,Johnny Cueto,R,R
2022,culbc001,Charlie Culberson,R,R
2022,currx001,Xzavion Curry,R,R
2022,cyr-t001,Tyler Cyr,R,R
2022,dalbb001,Bobby Dalbec,R,R
2022,danit001,Tyler Danish,R,R
2022,darnt001,Travis d'Arnaud,R,R
2022,darvy001,Yu Darvish,R,R
2022,davia003,Austin Davis,L,L
2022,davib006,Brendon Davis,R,R
2022,davij006,J. D. Davis,R,R
2022,davij007,Jonathan Davis,R,R
2022,davij008,Jaylin Davis,R,R
2022,davim005,Matt Davidson,R,R
2022,davin001,Noah Davis,R,R
2022,davit005,Tucker Davidson,L,L
2022,daviz001,Zach Davies,R,R
2022,dawsr001,Ronnie Dawson,L,R
2022,dazay001,Yonathan Daza,R,R
2022,deana001,Austin Dean,R,R
2022,degrj001,Jacob deGrom,L,R
2022,dejea001,Angel De Jesus,R,R
2022,dejoc001,Chase De Jong,L,R
2022,dejop001,Paul DeJong,R,R
2022,delab001,Bryan De La Cruz,R,R
2022,delaj004,Jason Delay,R,R
2022,deloe001,Enyel De Los Santos,R,R
2022,deloy001,Yerry De Los Santos,R,R
2022,delub001,Ben DeLuzio,R,R
2022,demet001,Travis Demeritte,R,R
2022,dermm001,Matt Dermody,R,L
2022,desca001,Anthony DeSclafani,R,R
2022,detmr001,Reid Detmers,L,L
2022,detwr001,Ross Detwiler,R,L
2022,devec001,Chris Devenski,R,R
2022,dever001,Rafael Devers,L,R
2022,diaza003,Aledmys Diaz,R,R
2022,diaza004,Alexis Diaz,R,R
2022,diaze005,Elias Diaz,R,R
2022,diaze006,Edwin Diaz,R,R
2022,diazj007,Jhonathan Diaz,L,L
2022,diazj008,Jordan Diaz,R,R
2022,diazl001,Lewin Diaz,L,L
2022,diazm004,Miguel Diaz,R,R
2022,diazy001,Yandy Diaz,R,R
2022,diazy003,Yusniel Diaz,R,R
2022,diazy004,Yainer Diaz,R,R
2022,dicka001,Alex Dickerson,L,L
2022,dickc002,Corey Dickerson,L,R
2022,diehp001,Phillip Diehl,L,L
2022,diekj001,Jake Diekman,R,L
2022,difow001,Wilmer Difo,B,R
2022,diplm001,Marcos Diplan,R,R
2022,dixob001,Brandon Dixon,R,R
2022,domis001,Seranthony Dominguez,R,R
2022,donaj001,Josh Donaldson,R,R
2022,donob001,Brendan Donovan,L,R
2022,dools001,Sean Doolittle,L,L
2022,dovac001,Camilo Doval,R,R
2022,dowdk001,Kyle Dowdy,R,R
2022,downj001,Jeter Downs,R,R
2022,dozih001,Hunter Dozier,R,R
2022,drurb001,Brandon Drury,R,R
2022,duard001,Daniel Duarte,R,R
2022,dubom001,Mauricio Dubon,R,R
2022,duffm002,Matt Duffy,R,R
2022,dufft001,Tyler Duffey,R,R
2022,duggr001,Robert Dugger,R,R
2022,duggs001,Steven Duggar,L,R
2022,dunaj001,Joe Dunand,R,R
2022,dunnd001,Dane Dunning,R,R
2022,dunnj002,Justin Dunn,R,R
2022,durae002,Ezequiel Duran,R,R
2022,duraj001,Jarren Duran,L,R
2022,duraj002,Jhoan Duran,R,R
2022,duron001,Nick Duron,R,R
2022,duvaa001,Adam Duvall,R,R
2022,eaton001,Nate Eaton,R,R
2022,edmat001,Tommy Edman,B,R
2022,edwac001,Carl Edwards,R,R
2022,effrs001,Scott Effross,R,R
2022,efliz001,Zach Eflin,R,R
2022,eickj001,Jerad Eickhoff,R,R
2022,eldeb001,Bryce Elder,R,R
2022,eliar001,Roenis Elias,L,L
2022,ellic001,Chris Ellis,L,R
2022,ellid002,Drew Ellis,R,R
2022,encaj002,Jerar Encarnacion,R,R
2022,engea001,Adam Engel,R,R
2022,eovan001,Nathan Eovaldi,R,R
2022,erlir001,Robbie Erlin,R,L
2022,escoa003,Alcides Escobar,R,R
2022,escoe001,Eduardo Escobar,B,R
2022,espia002,Anderson Espinoza,R,R
2022,espip001,Paolo Espino,R,R
2022,espir001,Raynel Espinal,R,R
2022,espis001,Santiago Espinal,R,R
2022,estec001,Carlos Estevez,R,R
2022,estrj002,Jeremiah Estrada,B,R
2022,estrt001,Thairo Estrada,R,R
2022,faeda001,Alex Faedo,R,R
2022,fairp001,Pete Fairbanks,R,R
2022,fairs001,Stuart Fairchild,R,R
2022,faltb001,Bailey Falter,R,L
2022,famij001,Jeurys Familia,R,R
2022,farmb001,Buck Farmer,L,R
2022,farmk001,Kyle Farmer,R,R
2022,farrl001,Luke Farrell,L,R
2022,faucc001,Calvin Faucher,R,R
2022,fedde001,Erick Fedde,R,R
2022,felim001,Michael Feliz,R,R
2022,felim002,Mario Feliciano,R,R
2022,feltr001,Ryan Feltner,R,R
2022,fergc001,Caleb Ferguson,R,L
2022,fermf002,Freddy Fermin,R,R
2022,fernj006,Junior Fernandez,R,R
2022,festm001,Matthew Festa,R,R
