player_id,player_name,game_date,game_pk,pa,woba,xwoba,so,bb,hrs,k_percent,bb_percent,hardhit_percent,swing_miss_percent,pitcher_run_value_per_100,obp
668964,"Myers, Tobias",2024-09-14,747148,26.0,0.364,0.359,3.0,0.0,1.0,11.5,0.0,36.36363636363637,14.6,-0.642268041,0.346
601713,"Pivetta, Nick",2024-09-06,746912,25.0,0.274,0.343,6.0,3.0,0.0,24.0,12.0,31.25,18.0,0.863917526,0.32
607259,"Martinez, Nick",2024-09-09,747090,24.0,0.102,0.194,5.0,1.0,0.0,20.8,4.2,33.33333333333333,26.7,4.420618557,0.125
661563,"Gil, Luis",2024-09-11,745697,22.0,0.333,0.401,5.0,2.0,1.0,22.7,9.1,40.0,27.9,-0.515463918,0.318
542881,"Anderson, Tyler",2024-09-14,746177,25.0,0.391,0.359,4.0,3.0,1.0,16.0,12.0,33.33333333333333,37.7,-0.925773196,0.4
686613,"Brown, Hunter",2024-09-11,746342,26.0,0.391,0.295,7.0,1.0,1.0,26.9,3.8,44.44444444444444,37.3,-1.831958763,0.385
672282,"Detmers, Reid",2024-09-09,745860,24.0,0.321,0.303,8.0,2.0,1.0,33.3,8.3,50.0,32.6,-1.398969072,0.292
554430,"Wheeler, Zack",2024-09-28,744799,23.0,0.226,0.228,11.0,2.0,1.0,47.8,8.7,20.0,36.5,1.74742268,0.217
641482,"Cortes, Nestor",2024-09-18,745199,24.0,0.249,0.255,6.0,3.0,0.0,25.0,12.5,26.666666666666668,26.2,1.407216495,0.292
669203,"Burnes, Corbin",2024-09-14,746422,23.0,0.107,0.156,7.0,1.0,0.0,30.4,4.3,6.666666666666667,41.9,4.120618557,0.13
605400,"Nola, Aaron",2024-09-18,745933,25.0,0.195,0.223,9.0,1.0,1.0,36.0,4.0,33.33333333333333,31.1,2.643298969,0.16
665795,"Cabrera, Edward",2024-09-08,746017,24.0,0.154,0.255,6.0,1.0,0.0,25.0,4.2,47.05882352941176,29.8,2.312371134,0.167
686613,"Brown, Hunter",2024-09-05,746664,23.0,0.183,0.238,6.0,1.0,0.0,26.1,4.3,18.75,18.6,3.187628866,0.217
640455,"Manaea, Sean",2024-09-06,745777,24.0,0.295,0.32,9.0,2.0,2.0,37.5,8.3,33.33333333333333,38.0,0.319587629,0.25
681293,"Arrighetti, Spencer",2024-09-10,746346,27.0,0.325,0.293,7.0,1.0,1.0,25.9,3.7,31.57894736842105,25.5,0.709278351,0.296
669302,"Gilbert, Logan",2024-09-19,745204,25.0,0.328,0.321,9.0,2.0,1.0,36.0,8.0,42.85714285714285,41.7,-2.717525773,0.32
668678,"Gallen, Zac",2024-09-25,747144,22.0,0.177,0.226,11.0,2.0,0.0,50.0,9.1,55.55555555555556,40.0,2.398969072,0.182
682847,"Ortiz, Luis",2024-09-13,745447,20.0,0.425,0.399,5.0,2.0,2.0,25.0,10.0,46.15384615384615,15.7,-3.16185567,0.35
694738,"Roupp, Landen",2024-09-27,745280,22.0,0.527,0.341,4.0,2.0,1.0,18.2,9.1,50.0,13.6,-5.165979381,0.5
640455,"Manaea, Sean",2024-09-01,746750,24.0,0.161,0.282,5.0,2.0,0.0,20.8,8.3,18.75,26.3,3.295833333,0.208
623167,"Flexen, Chris",2024-09-26,746738,23.0,0.222,0.207,7.0,1.0,0.0,30.4,4.3,33.33333333333333,25.6,1.708333333,0.261
679525,"Marsh, Alec",2024-09-13,745447,23.0,0.284,0.321,11.0,2.0,0.0,47.8,8.7,50.0,41.9,0.671875,0.304
656427,"Flaherty, Jack",2024-09-02,747155,23.0,0.311,0.311,7.0,3.0,0.0,30.4,13.0,15.384615384615383,36.4,0.495833333,0.364
656427,"Flaherty, Jack",2024-09-19,746011,25.0,0.325,0.355,5.0,2.0,2.0,20.0,8.0,50.0,26.8,0.353125,0.28
623167,"Flexen, Chris",2024-09-21,745360,25.0,0.461,0.414,3.0,2.0,2.0,12.0,8.0,40.0,18.2,-2.555208333,0.4
664285,"Valdez, Framber",2024-09-06,746343,25.0,0.16,0.219,7.0,3.0,0.0,28.0,12.0,46.66666666666666,26.2,2.969791667,0.208
605400,"Nola, Aaron",2024-09-29,744798,23.0,0.427,0.293,7.0,0.0,1.0,30.4,0.0,37.5,33.3,-1.342708333,0.391
608379,"Wacha, Michael",2024-09-20,746256,23.0,0.307,0.232,5.0,1.0,0.0,21.7,4.3,31.25,23.1,0.378125,0.304
669923,"Kirby, George",2024-09-25,746331,24.0,0.221,0.253,6.0,1.0,0.0,25.0,4.2,25.0,23.5,2.185416667,0.25
668678,"Gallen, Zac",2024-09-20,745934,23.0,0.451,0.385,5.0,1.0,3.0,21.7,4.3,41.17647058823529,22.0,-4.394791667,0.348
676440,"Bibee, Tanner",2024-09-18,746582,27.0,0.229,0.248,5.0,1.0,0.0,18.5,3.7,25.0,30.6,1.636458333,0.259
806185,"Birdsong, Hayden",2024-09-18,746988,23.0,0.229,0.348,3.0,2.0,0.0,13.0,8.7,55.55555555555556,20.0,1.905208333,0.261
669373,"Skubal, Tarik",2024-09-06,745611,24.0,0.376,0.245,7.0,0.0,0.0,29.2,0.0,23.52941176470588,37.5,-0.782291667,0.375
664285,"Valdez, Framber",2024-09-12,746337,26.0,0.239,0.245,6.0,1.0,0.0,23.1,3.8,26.31578947368421,18.8,1.490625,0.231
657277,"Webb, Logan",2024-09-19,746985,21.0,0.251,0.265,8.0,2.0,0.0,38.1,9.5,54.54545454545454,29.2,0.804166667,0.286
519242,"Sale, Chris",2024-09-14,747070,23.0,0.3,0.302,6.0,2.0,0.0,26.1,8.7,40.0,29.3,0.50625,0.304
650911,"Sánchez, Cristopher",2024-09-04,744887,27.0,0.265,0.244,7.0,0.0,0.0,25.9,0.0,50.0,25.0,1.491666667,0.222
672456,"Montero, Keider",2024-09-10,746428,27.0,0.098,0.226,5.0,0.0,0.0,18.5,0.0,18.181818181818183,32.7,5.102083333,0.111
681190,"Vásquez, Randy",2024-09-28,747146,23.0,0.154,0.243,4.0,1.0,0.0,17.4,4.3,46.66666666666666,18.2,2.358333333,0.182
571760,"Heaney, Andrew",2024-09-08,744965,23.0,0.212,0.296,8.0,1.0,1.0,34.8,4.3,35.714285714285715,31.1,1.782291667,0.174
687134,"Blalock, Bradley",2024-09-04,747075,25.0,0.383,0.471,2.0,6.0,1.0,8.0,24.0,64.70588235294117,17.5,-1.904166667,0.4
660761,"Suarez, José",2024-09-19,746341,21.0,0.192,0.351,5.0,2.0,0.0,23.8,9.5,57.14285714285714,30.8,1.091666667,0.238
669358,"Baz, Shane",2024-09-17,745044,24.0,0.151,0.348,6.0,1.0,1.0,25.0,4.2,52.94117647058824,30.5,1.939583333,0.125
642547,"Peralta, Freddy",2024-09-25,745442,20.0,0.176,0.25,7.0,2.0,0.0,35.0,10.0,54.54545454545454,26.7,2.1875,0.2
607625,"Lugo, Seth",2024-09-16,746260,24.0,0.43,0.338,4.0,2.0,1.0,16.7,8.3,22.22222222222222,20.9,-2.11875,0.417
686613,"Brown, Hunter",2024-09-17,745366,24.0,0.261,0.327,3.0,1.0,1.0,12.5,4.2,25.0,12.2,1.162105263,0.25
806185,"Birdsong, Hayden",2024-09-23,747150,22.0,0.307,0.384,6.0,2.0,0.0,27.3,9.1,46.15384615384615,28.6,0.027368421,0.318
571510,"Boyd, Matthew",2024-09-11,746745,23.0,0.337,0.241,9.0,2.0,0.0,39.1,8.7,45.45454545454545,35.4,-1.358947368,0.391
607074,"Rodón, Carlos",2024-09-27,745692,21.0,0.41,0.442,5.0,4.0,2.0,23.8,19.0,50.0,39.5,-1.218947368,0.381
669302,"Gilbert, Logan",2024-09-02,745619,23.0,0.283,0.353,9.0,1.0,1.0,39.1,4.3,69.23076923076923,32.0,0.771578947,0.217
656849,"Peterson, David",2024-09-29,745932,24.0,0.123,0.198,8.0,3.0,0.0,33.3,12.5,23.07692307692308,29.7,3.866315789,0.167
607259,"Martinez, Nick",2024-09-27,746822,27.0,0.184,0.332,3.0,0.0,0.0,11.1,0.0,41.66666666666667,12.0,2.973684211,0.192
650633,"King, Michael",2024-09-24,746093,20.0,0.256,0.442,3.0,2.0,0.0,15.0,10.0,35.714285714285715,19.5,0.694736842,0.3
623167,"Flexen, Chris",2024-09-02,746992,20.0,0.473,0.435,5.0,2.0,1.0,25.0,10.0,46.15384615384615,35.0,-2.902105263,0.45
702674,"Dana, Caden",2024-09-01,746183,23.0,0.264,0.282,4.0,4.0,1.0,17.4,17.4,20.0,33.3,-0.581052632,0.261
605483,"Snell, Blake",2024-09-11,745285,21.0,0.287,0.236,8.0,2.0,0.0,38.1,9.5,45.45454545454545,42.5,0.932631579,0.286
607536,"Freeland, Kyle",2024-09-14,746508,29.0,0.33,0.338,3.0,1.0,2.0,10.3,3.4,40.0,12.1,-0.697894737,0.276
670124,"Oller, Adam",2024-09-27,744879,25.0,0.399,0.292,3.0,2.0,1.0,12.0,8.0,35.0,15.0,-2.1,0.4
696136,"Wicks, Jordan",2024-09-06,746832,22.0,0.343,0.399,4.0,4.0,0.0,18.2,18.2,50.0,22.2,-0.490526316,0.409
666142,"Ragans, Cole",2024-09-06,746257,22.0,0.209,0.215,7.0,1.0,0.0,31.8,4.5,28.57142857142857,21.7,2.189473684,0.227
434378,"Verlander, Justin",2024-09-28,746578,25.0,0.323,0.233,5.0,0.0,1.0,20.0,0.0,10.0,17.5,0.249473684,0.28
663372,"Feltner, Ryan",2024-09-06,745941,23.0,0.167,0.292,6.0,3.0,0.0,26.1,13.0,28.57142857142857,22.5,2.934736842,0.217
672282,"Detmers, Reid",2024-09-27,746173,24.0,0.469,0.306,12.0,1.0,3.0,50.0,4.2,45.45454545454545,28.6,-2.884210526,0.375
601713,"Pivetta, Nick",2024-09-22,746903,23.0,0.243,0.33,4.0,3.0,0.0,17.4,13.0,37.5,13.2,1.233684211,0.304
607200,"Fedde, Erick",2024-09-06,745131,22.0,0.344,0.402,1.0,3.0,0.0,4.5,13.6,52.94117647058824,14.3,-0.304210526,0.409
657277,"Webb, Logan",2024-09-24,747149,22.0,0.209,0.221,3.0,1.0,0.0,13.6,4.5,29.411764705882355,19.1,2.451578947,0.227
686563,"Cannon, Jonathan",2024-09-04,746990,20.0,0.313,0.351,4.0,1.0,1.0,20.0,5.0,46.66666666666666,10.0,1.088421053,0.3
684007,"Imanaga, Shota",2024-09-04,746835,25.0,0.055,0.161,7.0,2.0,0.0,28.0,8.0,31.25,36.4,3.410526316,0.08
502043,"Gibson, Kyle",2024-09-14,744884,23.0,0.31,0.361,1.0,3.0,1.0,4.3,13.0,31.57894736842105,20.0,-0.684210526,0.304
669373,"Skubal, Tarik",2024-09-18,746254,21.0,0.193,0.246,7.0,1.0,0.0,33.3,4.8,50.0,36.7,1.408421053,0.238
668678,"Gallen, Zac",2024-09-10,747152,19.0,0.165,0.238,7.0,2.0,0.0,36.8,10.5,30.0,28.1,2.696808511,0.211
554430,"Wheeler, Zack",2024-09-22,745767,28.0,0.3,0.236,8.0,1.0,1.0,28.6,3.6,42.10526315789473,25.5,0.045744681,0.286
641927,"Ober, Bailey",2024-09-01,745861,23.0,0.179,0.223,8.0,3.0,1.0,34.8,13.0,16.666666666666664,26.7,1.585106383,0.174
669022,"Gore, MacKenzie",2024-09-21,746826,24.0,0.202,0.29,9.0,3.0,1.0,37.5,12.5,45.45454545454545,27.7,1.94893617,0.208
571578,"Corbin, Patrick",2024-09-14,744803,22.0,0.169,0.254,6.0,1.0,0.0,27.3,4.5,60.0,25.6,2.245744681,0.182
500779,"Quintana, Jose",2024-09-13,745529,23.0,0.131,0.281,4.0,0.0,0.0,17.4,0.0,42.10526315789473,17.0,4.087234043,0.13
593423,"Montas, Frankie",2024-09-06,745941,23.0,0.234,0.261,10.0,3.0,1.0,43.5,13.0,40.0,30.8,1.935106383,0.217
680885,"Schwellenbach, Spencer",2024-09-18,746662,25.0,0.33,0.353,5.0,2.0,0.0,20.0,8.0,35.294117647058826,21.3,0.157446809,0.333
593958,"Rodriguez, Eduardo",2024-09-18,746500,25.0,0.204,0.216,11.0,1.0,0.0,44.0,4.0,15.384615384615383,32.0,2.431914894,0.24
650911,"Sánchez, Cristopher",2024-09-25,745521,22.0,0.285,0.298,4.0,1.0,1.0,18.2,4.5,23.52941176470588,17.6,-0.588297872,0.273
601713,"Pivetta, Nick",2024-09-11,746908,23.0,0.281,0.18,9.0,1.0,1.0,39.1,4.3,38.46153846153847,29.5,1.039361702,0.217
518876,"Kelly, Merrill",2024-09-05,745289,27.0,0.237,0.312,8.0,0.0,0.0,29.6,0.0,52.63157894736842,26.7,1.634042553,0.222
663362,"Waldron, Matt",2024-09-29,747147,22.0,0.541,0.426,3.0,0.0,2.0,13.6,0.0,52.94117647058824,15.7,-4.012765957,0.455
682243,"Miller, Bryce",2024-09-06,745131,22.0,0.183,0.336,4.0,2.0,0.0,18.2,9.1,40.0,17.5,2.639361702,0.227
676664,"Sears, JP",2024-09-04,745614,25.0,0.277,0.281,5.0,1.0,0.0,20.0,4.0,33.33333333333333,18.0,0.312765957,0.28
