Team,TG,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR
"BAL",162,2359,6049,171,674,639,95,0.078690692,0.229790047,0.154356235,0.283814881,0.235955056,0.305090366,0.390311291,0.30524886833475073,0.31220832723646813,99.80624648004171,3.9486882386845537,2.5593708710937673,-3.357115474063903,20.030864013505315
"ARI",162,2407,6027,173,702,658,104,0.088103534,0.222498755,0.154924314,0.272446616,0.230237338,0.304238985,0.385161652,0.30276103470787313,0.2999313460589456,92.55093257833848,16.8899868944427,-35.37185047224868,11.559299064800143,19.24611012253368
"BOS",162,2379,6144,155,735,704,52,0.077799479,0.223470052,0.151832461,0.313223344,0.25762773,0.321044045,0.409460191,0.31860236679842024,0.318981881352147,101.95975994486152,-3.1148291816934943,9.629613362826934,-28.16621970757842,18.48424973098906
"TBR",162,2403,6008,139,666,634,95,0.08322237,0.232190412,0.138026607,0.295471987,0.2390983,0.3085,0.377124907,0.3022049437963805,0.30012199693145114,100.02654314123262,2.961593049898511,3.141045579685411,-17.634319260483608,18.456546750530087
"CHC",162,2388,6072,159,657,620,111,0.083498023,0.238471673,0.148202765,0.29423975,0.238341013,0.311302048,0.386543778,0.30694488518438723,0.3038651364070168,99.6454096940536,8.209633538033813,5.696259014359114,-40.32628187024966,18.27268187104382
"TEX",162,2365,6029,198,707,670,128,0.075634433,0.239840769,0.156626506,0.286673553,0.238773274,0.300880544,0.39539978,0.3046314408244518,0.3065179911526767,97.77449381469944,8.095534877385944,-7.003230364493566,-18.24210512964055,17.397450262653496
"SFG",162,2552,6117,183,716,683,64,0.093346411,0.239006048,0.15578635,0.28368421,0.233864985,0.315333006,0.389651335,0.31051788218435505,0.3107095044656961,101.58012462290385,-5.628400368936127,5.488782592629823,-66.23550633166451,15.692890169245805
"CHW",162,2371,6123,149,686,654,58,0.06336763,0.207251347,0.131349136,0.304162724,0.255747638,0.310463402,0.387096774,0.30635316171932314,0.31151823867986234,98.40361726345795,-6.814595215895679,-17.81398583268915,-30.996351093053818,15.235787220325756
"LAA",162,2327,5977,190,623,600,77,0.075121298,0.257487033,0.156924211,0.289056197,0.23326572,0.297092925,0.390189931,0.30012070078031045,0.30345860798508506,92.91482186738611,-2.1677738271391718,-50.05813663264758,-35.30387623142451,10.912503163597004
"COL",162,2265,6105,149,698,669,45,0.074201474,0.217854217,0.143501805,0.306998293,0.254151624,0.315392189,0.397653429,0.31240514846595785,0.3029257615984529,87.66703895993976,-0.3286059978418052,-87.80671646808543,-31.912603367120028,9.457684208517074
"KCR",162,2372,6010,138,640,613,104,0.076539101,0.214143094,0.135552694,0.293145956,0.24406842,0.306395057,0.379621114,0.30156207277957353,0.3134592957863318,91.11268820510456,0.880209940019995,-59.494335739498034,-44.0914670759812,9.10880576551249
"WSN",162,2347,5998,136,603,579,75,0.07369123,0.203567855,0.12881855,0.295333009,0.248619801,0.310229365,0.377438351,0.3027269239494453,0.3053831386686677,94.58900610096474,-14.536458220798522,-52.24414331550583,-76.6891775787808,8.104175177484029
"MIA",162,2384,5949,144,586,554,122,0.073289628,0.240208438,0.133456905,0.284344219,0.230027803,0.294256358,0.363484708,0.2904279939723525,0.3018023231017829,83.17573648348522,5.126335863489658,-111.15938697359162,-18.306858560070395,7.8714205047642825
"PIT",162,2340,5912,158,591,555,89,0.080514208,0.253213802,0.141249297,0.277238403,0.222472331,0.29119294,0.363721628,0.2887104355289247,0.29184146570537295,82.06792915839983,6.756999751465628,-116.61111282157874,-30.155161997303367,5.921478665490272
"OAK",162,2394,5863,137,568,537,78,0.073852976,0.236909432,0.129845691,0.264328709,0.215844937,0.280698749,0.345690628,0.2773049146407099,0.2881447469774319,82.35327144796341,3.9951403657905757,-112.47638766601837,-25.101283685304224,5.050966895599053
"CIN",162,2406,5978,156,648,618,58,0.075610572,0.239210438,0.137360595,0.289521818,0.234944237,0.303508477,0.372304832,0.2987120269707443,0.29555785648270894,84.91452248277253,-18.862510254140943,-123.75035704601251,-41.6985752414912,4.198005710495742
"DET",162,2350,5870,110,557,530,47,0.064735945,0.240715502,0.11509855,0.289817902,0.230568984,0.286348122,0.345667534,0.27901077339768166,0.2910241517283886,80.83889952474763,-4.991235360503197,-131.65057976369872,-20.21923124161549,3.5736211761270993
