Team,TG,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR
"MIA",36,16,20,10,147,36,316.2,8.611579664894016,3.6947371499545283,0.8526316499895065,0.2700228832951945,0.68834688,0.423595505,0.083565459,96.01772590843407,4.00736875495068,3.8584381290402203,3.83597836183353,4.218643719905083,3.9333573319017887
"SDP",35,21,14,13,152,35,312,8.682693156970407,3.4326926434534166,0.9230770133656245,0.2959905660377358,0.70895522,0.466435185,0.10062893,94.96254656854438,4.29807734348369,3.6908250995005942,3.8655532735339353,3.9834948459147053,3.910461808089167
"ATL",37,26,11,13,154,37,330,8.836364096018917,3.57272745857555,1.0090909615824073,0.25757575757575757,0.77512777,0.41826381,0.106628242,94.65846251545412,3.2181819855871368,3.6260634673910155,3.9656115207724687,4.005280144365207,3.5551260309293866
"CHW",36,17,19,11,163,36,319.2,8.136601467158973,4.194995220092343,1.0417102224390382,0.28153153153153154,0.72144289,0.415656008,0.103064066,94.88161665509004,4.138686559419963,4.353341278686887,4.380061632708168,4.474464207516467,3.5467601837590337
"TEX",35,16,19,9,151,35,305.2,8.950927624519045,3.1504909731037425,1.2366413165453944,0.2771672771672772,0.76992754,0.412865497,0.121037463,95.55703236991113,3.76881163137644,4.0785580996355,4.129132257054115,3.9593088364752473,3.5228274818509817
"MIN",36,16,20,6,154,36,316,7.860760300267649,3.6170889787463456,0.9398735141624363,0.2949561403508772,0.68675889,0.381564844,0.081885856,94.27292377894364,4.414557415005382,4.251356093622191,4.169715917746517,4.628034371891627,3.5195304970256984
"CLE",37,18,19,10,154,37,323.1,9.2969080765527,3.4793817651769086,1.3082475437065177,0.2813599062133646,0.73701843,0.415263748,0.130555555,94.07638383400685,4.063917901726629,4.061324057532239,4.239244818951042,3.9349187463907205,3.127806655014865
"LAA",37,14,23,5,153,37,327.1,8.963340975541467,4.646639953578245,0.9898167948450699,0.29642058165548096,0.6999544,0.454842219,0.108761329,95.08131297569707,4.591650131642408,4.132082635354893,4.3052955977097165,4.315402627757188,3.114716289099306
"CHC",36,24,12,8,142,36,322,8.357143599688808,2.9627331824983734,1.201863460824812,0.26352128883774456,0.72992701,0.419247787,0.121468926,93.75046227821169,3.8291928868139355,3.9636858420986654,4.113343542313208,3.9427158611516635,3.0052541540935636
"KCR",36,17,19,13,145,36,319.1,8.567850311875373,4.227557719675349,1.1837161615090976,0.2809917355371901,0.72640509,0.377272727,0.112600536,93.60607691790001,4.283925155937687,4.596936076250454,4.415798196981443,4.369175582449106,2.656119680032134
"BOS",36,15,21,7,146,36,317.1,8.253152000460409,3.3750003025937754,1.2762606186278982,0.2849035187287174,0.74728261,0.42087912,0.135542168,94.20484610273532,4.112395326689894,4.840901099851181,4.430113757830147,4.076328830741723,2.3368076998740435
"BAL",36,16,20,10,164,36,317.2,8.471144639770113,3.8247643022373423,1.3315846089270746,0.31921824104234525,0.6758034,0.409853249,0.127371273,93.87335382482057,4.929696211772574,4.486042645200387,4.583014407148597,4.313600769770906,2.2404084596782923
"SFG",36,14,22,7,148,36,318.1,8.227225807667004,3.731937479766476,0.9895288772108081,0.2826086956521739,0.72459893,0.465921787,0.113636363,94.10829414474009,3.986387762477827,3.9669872350246824,4.074242365268705,4.022594748957714,2.1600019382312894
"COL",36,14,22,10,138,36,317.1,7.9411771512502085,3.318277595343837,1.3897060014687863,0.2996742671009772,0.72419106,0.427974947,0.132432432,95.20495625221228,4.59453820893762,4.7006191508668635,4.644399485411525,4.297257131492284,1.930332827847451
"CIN",36,20,16,10,171,36,321.2,7.834197580252123,4.840414933512919,1.0911918058208314,0.2953311617806732,0.73807381,0.396226415,0.103723404,94.08616276748182,4.476684331572642,5.129361020985999,4.733000532837611,4.821239472906845,1.92540636472404
"ATH",35,18,17,11,156,35,313.2,7.919235787539985,4.562168442821948,1.291179747968476,0.2895622895622896,0.74698795,0.379870129,0.115384615,94.2826428658076,4.676939975974701,4.30963679739996,4.923358120709719,4.828729042991435,1.3775676051154733
"ARI",34,17,17,9,155,34,298.1,7.572067749132084,3.5899444707040558,1.2670392249543725,0.2870159453302961,0.66354626,0.435022026,0.122448979,92.57417680280318,5.007821698629187,4.899247921614337,4.579036362875034,4.3859472130663155,0.9354696981608868
"STL",35,21,14,13,164,35,316,6.920886932313787,3.8164561684364093,1.082278614929728,0.2961783439490446,0.72216891,0.465499485,0.114457831,95.1045000686536,4.500000556813079,5.046423116446425,4.622247640971231,4.554944657547134,0.5209547141566873
"HOU",37,15,22,8,155,37,323.1,9.241238105447204,5.455670688757988,1.3917527267239767,0.3187571921749137,0.70649895,0.380110497,0.133689839,94.23320641276041,5.650516070499345,4.672745821055209,5.142337715650239,4.7790461463244895,0.38214132911525667
"WSN",36,16,20,8,157,36,325,7.532308421695938,4.04307731458679,1.4676924498157526,0.2837977296181631,0.68203422,0.441441441,0.134177215,93.79168543754122,4.929231246551018,5.066779533964872,5.132091857011802,4.742668674246384,-0.9359648590907454
