Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Nick Allen","HOU",132,452,405,92,71,16,1,4,43,35,34,0,89,3,3,7,8,9,5,0.22716,0.0752212,0.196903,0.382022,0.289888,0.301235,0.265378,0.591122,0.0740741,4.09819,0.279365,,-0.960567,35.9106,-17.4967,67.928,-0.960567,7.2,-18.04645150899887,12.182363033294678,0.992217,999,,,,,,,314,2.378787878,314,2.378787878,,,,,,,,,,,,,,,,,,,"Nick Allen","22277",669397
"Dane Myers","CIN",108,383,347,88,63,13,1,11,46,50,29,0,94,5,2,0,10,14,4,0.253602,0.075718,0.245431,0.308511,0.318538,0.391931,0.312081,0.710469,0.138329,5.31007,0.315574,,0.521568,44.9515,-0.302913,94.4905,0.521568,-2.5,-1.9793598055839539,-1.0927395820617676,0.989011,999,,,,,,,410,3.796296296,410,3.796296296,,,,,,,,,,,,,,,,,,,"Dane Myers","22054",667472
"Charles Leblanc",,91,359,315,74,52,13,1,8,38,42,38,1,105,4,1,1,7,3,2,0.234921,0.10585,0.292479,0.361905,0.324022,0.35873,0.303972,0.682752,0.12381,3.37897,0.325123,,-0.83299,39.7712,-2.64745,93.3449,-0.83299,0,-3.6646620631217957,1.3190770149230957,0.981672,999,,,,,,,344.1,3.781318681,344.1,3.781318681,,,,,,,,,,,,,,,,,,,"Charles Leblanc","19813",641779
"Brewer Hicklen","ATL",103,410,361,77,46,15,2,14,54,54,36,1,145,10,3,0,6,18,2,0.213296,0.0878049,0.353659,0.248276,0.3,0.382271,0.299479,0.682271,0.168975,6.95911,0.307317,,2.18021,43.9255,-4.51916,90.2671,2.18021,3,-2.549337863922119,-1.5194001197814941,0.978921,999,,,,,,,423.3,4.109708737,423.3,4.109708737,,,,,,,,,,,,,,,,,,,"Brewer Hicklen","20450",676551
"David Villar",,101,401,353,77,48,16,0,13,48,49,40,0,117,5,3,0,8,2,1,0.21813,0.0997506,0.291771,0.34188,0.304239,0.373938,0.29961,0.678177,0.155807,2.74577,0.283186,,-0.623473,43.0037,-4.37751,94.1284,-0.623473,7,-3.4140576124191284,-0.3669900894165039,0.977729,999,,,,,,,382.8,3.790099009,382.8,3.790099009,,,,,,,,,,,,,,,,,,,"David Villar","24782",681584
"Eduardo Tait","MIN",112,475,442,98,58,28,1,11,47,51,22,0,116,5,6,0,10,0,0,0.221719,0.0463158,0.244211,0.189655,0.263158,0.364253,0.271691,0.627411,0.142534,2.08208,0.271028,,-0.561142,40.1726,-15.9524,70.9435,-0.561142,1.3,-16.828237891197205,10.026484251022339,0.9773,999,,,,,,,378.1,3.375892857,378.1,3.375892857,,,,,,,,,,,,,,,,,,,"Eduardo Tait","sa3022162",806953
"Ryan Mountcastle","BAL",112,454,419,109,69,23,1,16,50,57,26,0,112,3,6,0,11,3,0,0.260143,0.0572687,0.246696,0.232143,0.303965,0.434368,0.317199,0.738332,0.174224,3.47135,0.313131,,-0.0469641,55.1711,1.52753,104.495,-0.0469641,-0.1,2.3581813164055347,-8.440682031214237,0.976916,748.0900268554688,,,,,,,506.9,4.525892857,506.9,4.525892857,,,,,,,,,,,,,,,,,,,"Ryan Mountcastle","18373",663624
"Marcos Castañon","SDP",122,497,452,101,64,22,1,14,50,59,35,1,138,7,3,0,14,1,1,0.223451,0.0704225,0.277666,0.253623,0.287726,0.369469,0.287683,0.657195,0.146018,2.46133,0.287129,,-0.902693,48.4864,-10.238,86.396,-0.902693,0.1,-8.916109442710876,1.9261317029595375,0.976097,999,,,,,,,439.8,3.604918032,439.8,3.604918032,,,,,,,,,,,,,,,,,,,"Marcos Castanon","sa3016818",676203
"Donovan Walton","LAA",113,429,383,91,67,16,1,7,49,42,33,1,70,6,4,3,8,3,2,0.237598,0.0769231,0.16317,0.471429,0.305164,0.339426,0.285787,0.64459,0.101828,3.4884,0.270968,,-0.91221,41.192,-9.49761,80.2338,-0.91221,4.1,-10.906548500061035,5.676278591156006,0.976046,999,,,,,,,361.6,3.2,361.6,3.2,,,,,,,,,,,,,,,,,,,"Donovan Walton","19314",622268
"Forrest Wall",,98,370,328,77,57,12,3,5,48,36,32,0,107,5,2,3,4,23,5,0.234756,0.0864865,0.289189,0.299065,0.310627,0.335366,0.288828,0.645993,0.10061,7.55711,0.330275,,1.93186,36.4403,-7.27807,85.2336,1.93186,0.4,-4.543619751930237,1.7594944536685944,0.974236,999,,,,,,,342.8,3.497959183,342.8,3.497959183,,,,,,,,,,,,,,,,,,,"Forrest Wall","16496",657088
