Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Joe Ryan","MIN",11,9,,3.78151,28,28,0,0,,154.7,629,134,70,65,22,36,0,9,168,9.77376,2.09438,4.66667,1.2799,0.267091,0.0572337,0.20985691249370575,0.229452,1.0989,0.284264,0.718391,,,3.68459,2.97197,2.61913,78.52999877929688,,,,,,,726.7799774169922,4.697996068223261,688.4999847412109,4.450549439710471,,,,,,,,,,,,,,,,,,,"Joe Ryan","21390",657746
"George Kirby","SEA",11,7,,3.59513,27,27,0,0,,147.7,606,136,64,59,17,28,0,6,145,8.83548,1.70616,5.17857,1.03588,0.239274,0.0462046,0.19306930154561996,0.237762,1.11036,0.290244,0.713267,,,3.35856,2.95374,2.2735,64.58000183105469,,,,,,,718.2799774169922,4.863100827745417,705.4999847412109,4.7765741321473145,,,,,,,,,,,,,,,,,,,"George Kirby","25436",669923
"Jacob deGrom","TEX",10,7,,3.48307,26,26,0,0,,144.7,573,119,61,56,20,35,0,2,155,9.64064,2.17692,4.42857,1.24395,0.270506,0.061082,0.20942408964037895,0.222015,1.06427,0.274238,0.738095,,,3.5567,2.94718,2.7882,50.0099983215332,,,,,,,714.3799774169923,4.936972995739034,662.4999847412109,4.578438139001349,,,,,,,,,,,,,,,,,,,"Jacob deGrom","10954",594798
"Kevin Gausman","TOR",11,9,,3.77778,28,28,0,0,,162,676,152,74,68,21,46,1,2,158,8.77778,2.55556,3.43478,1.16667,0.233728,0.0680473,0.16568047553300858,0.242038,1.22222,0.291759,0.735469,,,3.75859,2.94519,2.56189,112.94999694824219,,,,,,,717.3,4.427777777777777,709,4.3765432098765435,,,,,,,,,,,,,,,,,,,"Kevin Gausman","14107",592332
"Sonny Gray","BOS",10,8,,3.7721,27,27,0,0,,152.7,643,147,69,64,19,42,0,5,157,9.25344,2.47544,3.7381,1.11984,0.244168,0.0653188,0.17884915322065353,0.246644,1.23772,0.304762,0.738916,,,3.61975,2.93172,2.83985,138.08999633789062,,,,,,,687.079977416992,4.49954152684023,689.4999847412109,4.51538964322912,,,,,,,,,,,,,,,,,,,"Sonny Gray","12768",543243
"Logan Gilbert","SEA",9,6,,3.4163,30,29,0,0,,160.7,648,134,66,61,21,40,1,5,174,9.74487,2.2402,4.35,1.1761,0.268519,0.0617284,0.20679011195898056,0.222222,1.08276,0.276961,0.746888,,,3.5085,2.9195,2.87873,37.150001525878906,,,,,,,795.4799774169923,4.950093295105651,743.4999847412109,4.626633471441044,,,,,,,,,,,,,,,,,,,"Logan Gilbert","22250",669302
"Cole Ragans","KCR",7,6,,3.57822,23,21,0,0,,115.7,480,95,50,46,12,40,0,3,143,11.1236,3.1115,3.575,0.933449,0.297917,0.0833333,0.21458334475755692,0.217391,1.16681,0.294326,0.71912,,,3.12649,2.91318,2.30679,48.15999984741211,,,,,,,618.5799774169922,5.346413083257995,579.4999847412109,5.00864304257888,,,,,,,,,,,,,,,,,,,"Cole Ragans","21846",666142
"Chris Sale","ATL",8,5,,3.18584,22,21,0,0,,124.3,514,107,48,44,13,33,0,8,147,10.6436,2.38938,4.45455,0.941271,0.285992,0.0642023,0.2217898741364479,0.226216,1.12631,0.300319,0.755337,,,3.11905,2.9009,3.13572,39.36000061035156,,,,,,,652.7200225830079,5.251166585339656,623.5000152587891,5.016090104190643,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"Pablo López","MIN",10,7,,3.69427,25,25,0,0,,141.3,589,131,63,58,16,37,0,6,141,8.98089,2.35669,3.81081,1.01911,0.239389,0.0628183,0.17657046020030975,0.239927,1.18896,0.29563,0.721154,,,3.52438,2.80107,2.49286,743.4000244140625,,,,,,,661.2200225830078,4.679547121742132,651.5000152587891,4.6107572624761115,,,,,,,,,,,,,,,,,,,"Pablo Lopez","17085",641154
"Spencer Strider","ATL",11,9,,3.80189,25,24,0,0,,137.3,573,117,63,58,17,45,0,6,166,10.8813,2.94974,3.68889,1.11435,0.289703,0.078534,0.2111692801117897,0.224138,1.1799,0.294985,0.716353,,,3.44104,2.73512,2.37502,124.86000061035156,,,,,,,681.7200225830079,4.965185778808911,644.5000152587891,4.694100516631691,,,,,,,,,,,,,,,,,,,"Spencer Strider","27498",675911
"Zack Wheeler","PHI",9,5,,3.42657,21,21,0,0,,128.7,524,110,53,49,14,35,0,6,133,9.3007,2.44755,3.8,0.979021,0.253817,0.0667939,0.1870228871703148,0.227743,1.12665,0.285714,0.733652,,,3.43817,2.69845,2.96235,110.48999786376953,,,,,,,637.1799774169922,4.950893492819892,604.4999847412109,4.696969689784187,,,,,,,,,,,,,,,,,,,"Zack Wheeler","10310",554430
"Freddy Peralta","NYM",12,10,,3.85714,31,31,0,0,,161,668,133,75,69,21,61,0,7,175,9.78261,3.40994,2.86885,1.17391,0.261976,0.0913174,0.1706586703658104,0.221667,1.20497,0.277228,0.722965,,,3.92396,2.65409,2.37279,56.36000061035156,,,,,,,733.3000000000002,4.554658385093169,678,4.211180124223603,,,,,,,,,,,,,,,,,,,"Freddy Peralta","18679",642547
"Tanner Bibee","CLE",11,9,,3.65455,28,28,0,0,,165,686,150,72,67,21,46,0,7,154,8.4,2.50909,3.34783,1.14545,0.22449,0.0670554,0.1574343964457512,0.236967,1.18788,0.281659,0.744298,,,3.88665,2.64343,2.92867,188.6300048828125,,,,,,,721.7,4.373939393939394,701,4.248484848484848,,,,,,,,,,,,,,,,,,,"Tanner Bibee","30134",676440
"Corbin Burnes","ARI",11,6,,3.19355,25,25,0,0,,155,634,132,59,55,15,48,0,6,144,8.36129,2.7871,3,0.870968,0.227129,0.0757098,0.15141955763101578,0.227586,1.16129,0.27791,0.761006,,,3.5803,2.55178,4.06845,738.0999755859375,,,,,,,745.3,4.808387096774193,706,4.554838709677419,,,,,,,,,,,,,,,,,,,"Corbin Burnes","19361",669203
"Shane McClanahan","TBR",8,5,,3.28584,20,20,0,0,,112.3,454,96,44,41,13,30,1,2,118,9.45681,2.40427,3.93333,1.04185,0.259912,0.0660793,0.19383259862661362,0.227488,1.12199,0.285223,0.760668,,,3.39337,2.54741,2.65476,182.99000549316406,,,,,,,561.5200225830079,5.000178159605299,532.5000152587891,4.741763141478863,,,,,,,,,,,,,,,,,,,"Shane McClanahan","21483",663556
"Sandy Alcantara","MIA",10,9,,4.04242,26,26,0,0,,160.3,663,148,78,72,17,44,1,6,132,7.4111,2.47037,3,0.95446,0.199095,0.066365,0.13273001462221146,0.241436,1.19775,0.282328,0.677765,,,3.80263,2.54237,2.39237,144.57000732421875,,,,,,,706.320022583008,4.406238360176143,694.5000152587891,4.3325015722834905,,,,,,,,,,,,,,,,,,,"Sandy Alcantara","18684",645261
"Aaron Nola","PHI",9,8,,4.16964,24,24,0,0,,140.3,582,133,70,65,20,34,0,4,140,8.98075,2.18104,4.11765,1.28297,0.24055,0.0584192,0.1821305900812149,0.244485,1.19031,0.294271,0.697842,,,3.80513,2.51834,1.93563,205.52999877929688,,,,,,,612.420022583008,4.365074905644024,607.5000152587891,4.330007142157205,,,,,,,,,,,,,,,,,,,"Aaron Nola","16149",605400
